core,name,baseline,mte
1,mvt,0.023851,0.023940
1,atax,0.013873,0.014302
1,2mm,4.339222,4.361352
1,bicg,0.035460,0.041588
1,syr2k,3.797468,3.860220
1,gesummv,0.015133,0.019243
1,gemver,0.038103,0.037847
1,gemm,2.074789,2.295156
1,trmm,2.103415,1.892387
1,symm,3.122625,5.564236
1,syrk,1.555022,1.669155
1,fdtd-2d,3.899157,9.331175
1,jacobi-1d,0.003111,0.025031
1,adi,20.475251,28.476057
1,heat-3d,7.041573,20.551350
1,jacobi-2d,4.897058,27.292077
1,seidel-2d,52.285972,52.320006
1,nussinov,6.776570,6.866947
1,floyd-warshall,28.938308,31.824175
1,deriche,0.289422,0.451601
1,covariance,4.158291,4.178862
1,correlation,4.160326,4.168613
1,ludcmp,6.176705,6.275782
1,trisolv,0.004876,0.004714
1,lu,6.351878,6.426912
1,durbin,0.006967,0.007004
1,gramschmidt,6.639979,7.197736
1,cholesky,2.744409,2.779000
1,doitgen,1.022205,1.076755
1,3mm,7.002282,7.068744
1,mvt,0.025966,0.024930
1,atax,0.013873,0.014342
1,2mm,4.300243,4.379081
1,bicg,0.035452,0.041691
1,syr2k,3.949188,3.841962
1,gesummv,0.015095,0.019262
1,gemver,0.037355,0.040590
1,gemm,2.080425,2.294583
1,trmm,1.862207,1.908130
1,symm,2.816433,5.571006
1,syrk,1.556972,1.667644
1,fdtd-2d,3.887597,9.318847
1,jacobi-1d,0.003120,0.025033
1,adi,20.479252,28.431570
1,heat-3d,7.056905,20.553014
1,jacobi-2d,4.884071,27.299735
1,seidel-2d,52.282609,52.288287
1,nussinov,6.756994,6.831667
1,floyd-warshall,28.869583,31.808624
1,deriche,0.287806,0.451153
1,covariance,4.175826,4.171717
1,correlation,4.366432,4.162059
1,ludcmp,6.126801,6.066368
1,trisolv,0.004838,0.004697
1,lu,6.378468,6.424780
1,durbin,0.006951,0.007005
1,gramschmidt,6.595579,7.851543
1,cholesky,2.750302,2.784123
1,doitgen,1.022018,1.072947
1,3mm,6.990583,7.059740
1,mvt,0.027135,0.026923
1,atax,0.013951,0.014378
1,2mm,4.731998,4.368966
1,bicg,0.035472,0.041567
1,syr2k,3.835230,3.942024
1,gesummv,0.015108,0.019266
1,gemver,0.035895,0.041129
1,gemm,2.083983,2.298124
1,trmm,1.855395,1.889772
1,symm,2.831129,5.587085
1,syrk,1.553482,1.684088
1,fdtd-2d,3.892842,9.307130
1,jacobi-1d,0.003104,0.025024
1,adi,21.236040,28.497805
1,heat-3d,7.050050,20.551376
1,jacobi-2d,4.891287,27.303010
1,seidel-2d,52.288281,52.295219
1,nussinov,7.142752,6.824358
1,floyd-warshall,28.875212,31.804393
1,deriche,0.291266,0.452260
1,covariance,4.151260,4.174791
1,correlation,4.166122,4.171785
1,ludcmp,6.089771,6.229084
1,trisolv,0.004862,0.004673
1,lu,6.883177,6.488442
1,durbin,0.006952,0.007002
1,gramschmidt,8.174539,6.531236
1,cholesky,2.755316,2.775466
1,doitgen,1.022231,1.072766
1,3mm,7.000164,7.067465
1,mvt,0.028431,0.023981
1,atax,0.013863,0.014320
