buffer_size 32768
Pin to CPU 4
Pointer Chasing: 2958360 cycles.
Pointer Chasing: 2967586 cycles.
Pointer Chasing: 2968011 cycles.
Pointer Chasing: 2977801 cycles.
Pointer Chasing: 2962246 cycles.
Pointer Chasing: 2979019 cycles.
Pointer Chasing: 2986778 cycles.
Pointer Chasing: 2970865 cycles.
Pointer Chasing: 2957682 cycles.
Pointer Chasing: 2981345 cycles.
Pointer Chasing: 2964536 cycles.
Pointer Chasing: 2975425 cycles.
Pointer Chasing: 2963864 cycles.
Pointer Chasing: 3029836 cycles.
Pointer Chasing: 2967802 cycles.
Pointer Chasing: 2955049 cycles.
Pointer Chasing: 2975438 cycles.
Pointer Chasing: 2980714 cycles.
Pointer Chasing: 2966743 cycles.
Pointer Chasing: 2985706 cycles.
Pointer Chasing: 2973887 cycles.
Pointer Chasing: 2971685 cycles.
Pointer Chasing: 2988807 cycles.
Pointer Chasing: 2965007 cycles.
Pointer Chasing: 2978968 cycles.
Pointer Chasing: 2978977 cycles.
Pointer Chasing: 2988033 cycles.
Pointer Chasing: 2968188 cycles.
Pointer Chasing: 2950428 cycles.
Pointer Chasing: 2991125 cycles.
Pointer Chasing: 2968070 cycles.
Pointer Chasing: 2979000 cycles.
Pointer Chasing: 2979447 cycles.
Pointer Chasing: 2975437 cycles.
Pointer Chasing: 2963135 cycles.
Pointer Chasing: 2990302 cycles.
Pointer Chasing: 2965119 cycles.
Pointer Chasing: 2970707 cycles.
Pointer Chasing: 3041254 cycles.
Pointer Chasing: 2972644 cycles.
Pointer Chasing: 2982441 cycles.
Pointer Chasing: 2980869 cycles.
Pointer Chasing: 2955133 cycles.
Pointer Chasing: 2973384 cycles.
Pointer Chasing: 2986786 cycles.
Pointer Chasing: 2984005 cycles.
Pointer Chasing: 2959761 cycles.
Pointer Chasing: 2963339 cycles.
Pointer Chasing: 2975003 cycles.
Pointer Chasing: 2965699 cycles.
Pointer Chasing: 2966260 cycles.
Pointer Chasing: 2987352 cycles.
Pointer Chasing: 2985368 cycles.
Pointer Chasing: 2968237 cycles.
Pointer Chasing: 2988306 cycles.
Pointer Chasing: 2948680 cycles.
Pointer Chasing: 2950704 cycles.
Pointer Chasing: 2972415 cycles.
Pointer Chasing: 2969060 cycles.
Pointer Chasing: 2965244 cycles.
Pointer Chasing: 2982152 cycles.
Pointer Chasing: 2972121 cycles.
Pointer Chasing: 2975246 cycles.
Pointer Chasing: 2958479 cycles.
Pointer Chasing: 2987001 cycles.
Pointer Chasing: 2959513 cycles.
Pointer Chasing: 2981735 cycles.
Pointer Chasing: 3044598 cycles.
Pointer Chasing: 2979253 cycles.
Pointer Chasing: 2969101 cycles.
Pointer Chasing: 2972199 cycles.
Pointer Chasing: 2968832 cycles.
Pointer Chasing: 2956718 cycles.
Pointer Chasing: 2975411 cycles.
Pointer Chasing: 2967333 cycles.
Pointer Chasing: 2966984 cycles.
Pointer Chasing: 2973131 cycles.
Pointer Chasing: 2982542 cycles.
Pointer Chasing: 2970179 cycles.
Pointer Chasing: 3020832 cycles.
Pointer Chasing: 2980683 cycles.
Pointer Chasing: 2967679 cycles.
Pointer Chasing: 2977112 cycles.
Pointer Chasing: 3091860 cycles.
Pointer Chasing: 2960564 cycles.
Pointer Chasing: 2974265 cycles.
Pointer Chasing: 3041356 cycles.
Pointer Chasing: 2975592 cycles.
Pointer Chasing: 2962496 cycles.
Pointer Chasing: 3030872 cycles.
Pointer Chasing: 2986554 cycles.
Pointer Chasing: 2965241 cycles.
Pointer Chasing: 2975283 cycles.
Pointer Chasing: 2970190 cycles.
Pointer Chasing: 2986413 cycles.
Pointer Chasing: 3025657 cycles.
Pointer Chasing: 2963217 cycles.
Pointer Chasing: 2952935 cycles.
Pointer Chasing: 3017807 cycles.
Pointer Chasing: 2970800 cycles.
Pointer Chasing: 2964946 cycles.
Pointer Chasing: 2977102 cycles.
Pointer Chasing: 3082478 cycles.
Pointer Chasing: 2969572 cycles.
Pointer Chasing: 2978266 cycles.
Pointer Chasing: 2983772 cycles.
Pointer Chasing: 2978834 cycles.
Pointer Chasing: 2979659 cycles.
Pointer Chasing: 3026556 cycles.
Pointer Chasing: 2949568 cycles.
Pointer Chasing: 2964961 cycles.
Pointer Chasing: 3013404 cycles.
Pointer Chasing: 2970583 cycles.
Pointer Chasing: 2974005 cycles.
Pointer Chasing: 3038333 cycles.
Pointer Chasing: 2967500 cycles.
Pointer Chasing: 2968843 cycles.
Pointer Chasing: 3022896 cycles.
Pointer Chasing: 2969932 cycles.
Pointer Chasing: 2972378 cycles.
Pointer Chasing: 2966183 cycles.
Pointer Chasing: 3029360 cycles.
Pointer Chasing: 2973945 cycles.
Pointer Chasing: 2968515 cycles.
Pointer Chasing: 3023385 cycles.
Pointer Chasing: 3013756 cycles.
Pointer Chasing: 2957258 cycles.
Pointer Chasing: 2980334 cycles.
Pointer Chasing: 2969035 cycles.
Pointer Chasing: 2967387 cycles.
Pointer Chasing: 3099272 cycles.
Pointer Chasing: 2965041 cycles.
Pointer Chasing: 2972088 cycles.
Pointer Chasing: 3019397 cycles.
Pointer Chasing: 2969035 cycles.
Pointer Chasing: 2978075 cycles.
Pointer Chasing: 3030385 cycles.
Pointer Chasing: 3029448 cycles.
Pointer Chasing: 2964127 cycles.
Pointer Chasing: 2977834 cycles.
Pointer Chasing: 2959538 cycles.
Pointer Chasing: 2953618 cycles.
Pointer Chasing: 2961633 cycles.
Pointer Chasing: 2974074 cycles.
Pointer Chasing: 2984413 cycles.
Pointer Chasing: 2953830 cycles.
Pointer Chasing: 3035822 cycles.
Pointer Chasing: 2969403 cycles.
Pointer Chasing: 2977337 cycles.
Pointer Chasing: 3028870 cycles.
Pointer Chasing: 2964250 cycles.
Pointer Chasing: 2962394 cycles.
Pointer Chasing: 3024353 cycles.
Pointer Chasing: 2965927 cycles.
Pointer Chasing: 2970607 cycles.
Pointer Chasing: 2984183 cycles.
Pointer Chasing: 2964025 cycles.
Pointer Chasing: 2965191 cycles.
Pointer Chasing: 2977793 cycles.
Pointer Chasing: 3024888 cycles.
Pointer Chasing: 2972036 cycles.
Pointer Chasing: 2961123 cycles.
Pointer Chasing: 3037635 cycles.
Pointer Chasing: 2967673 cycles.
Pointer Chasing: 2969999 cycles.
Pointer Chasing: 3029588 cycles.
Pointer Chasing: 2964187 cycles.
Pointer Chasing: 2959452 cycles.
Pointer Chasing: 2975628 cycles.
Pointer Chasing: 2979981 cycles.
Pointer Chasing: 2975369 cycles.
Pointer Chasing: 2974518 cycles.
Pointer Chasing: 2964823 cycles.
Pointer Chasing: 2975599 cycles.
Pointer Chasing: 2984856 cycles.
Pointer Chasing: 2967236 cycles.
Pointer Chasing: 2965093 cycles.
Pointer Chasing: 2975677 cycles.
Pointer Chasing: 3033666 cycles.
Pointer Chasing: 2965056 cycles.
Pointer Chasing: 2965004 cycles.
Pointer Chasing: 3034905 cycles.
Pointer Chasing: 2962586 cycles.
Pointer Chasing: 2962491 cycles.
Pointer Chasing: 3020916 cycles.
Pointer Chasing: 2964658 cycles.
Pointer Chasing: 2968399 cycles.
Pointer Chasing: 3012415 cycles.
Pointer Chasing: 2973585 cycles.
Pointer Chasing: 2980834 cycles.
Pointer Chasing: 2985147 cycles.
Pointer Chasing: 2972636 cycles.
Pointer Chasing: 2962722 cycles.
Pointer Chasing: 3034536 cycles.
Pointer Chasing: 2978631 cycles.
Pointer Chasing: 2969214 cycles.
Pointer Chasing: 2968996 cycles.
Pointer Chasing: 3026140 cycles.
Pointer Chasing: 2967693 cycles.
Pointer Chasing: 2967964 cycles.
Pointer Chasing: 2978330 cycles.
Pointer Chasing: 2968786 cycles.
Pointer Chasing: 2971238 cycles.
Pointer Chasing: 3028846 cycles.
Pointer Chasing: 2970794 cycles.
Pointer Chasing: 2975020 cycles.
Pointer Chasing: 3084051 cycles.
Pointer Chasing: 2974042 cycles.
Pointer Chasing: 2961691 cycles.
Pointer Chasing: 2972559 cycles.
Pointer Chasing: 2968193 cycles.
Pointer Chasing: 2968992 cycles.
Pointer Chasing: 3012576 cycles.
Pointer Chasing: 2979029 cycles.
Pointer Chasing: 2968995 cycles.
Pointer Chasing: 2974459 cycles.
Pointer Chasing: 3031037 cycles.
Pointer Chasing: 2960191 cycles.
Pointer Chasing: 2974061 cycles.
Pointer Chasing: 3051319 cycles.
Pointer Chasing: 2966620 cycles.
Pointer Chasing: 2969352 cycles.
Pointer Chasing: 3070469 cycles.
Pointer Chasing: 2947253 cycles.
Pointer Chasing: 2965360 cycles.
Pointer Chasing: 2983764 cycles.
Pointer Chasing: 2968813 cycles.
Pointer Chasing: 2966899 cycles.
Pointer Chasing: 3020484 cycles.
Pointer Chasing: 2980198 cycles.
Pointer Chasing: 2975744 cycles.
Pointer Chasing: 3039592 cycles.
Pointer Chasing: 2972321 cycles.
Pointer Chasing: 2971095 cycles.
Pointer Chasing: 2963447 cycles.
Pointer Chasing: 3019319 cycles.
Pointer Chasing: 2971344 cycles.
Pointer Chasing: 2964443 cycles.
Pointer Chasing: 2980581 cycles.
Pointer Chasing: 2965916 cycles.
Pointer Chasing: 2958568 cycles.
Pointer Chasing: 2988504 cycles.
Pointer Chasing: 2972241 cycles.
Pointer Chasing: 2967407 cycles.
Pointer Chasing: 3020260 cycles.
Pointer Chasing: 2968175 cycles.
Pointer Chasing: 2973633 cycles.
Pointer Chasing: 3067146 cycles.
Pointer Chasing: 2969447 cycles.
Pointer Chasing: 2961664 cycles.
Pointer Chasing: 2964888 cycles.
Pointer Chasing: 2965216 cycles.
Pointer Chasing: 2968726 cycles.
Pointer Chasing: 2986497 cycles.
Pointer Chasing: 3030151 cycles.
Pointer Chasing: 2978486 cycles.
Pointer Chasing: 2972301 cycles.
Pointer Chasing: 2970323 cycles.
Pointer Chasing: 2966565 cycles.
Pointer Chasing: 2964662 cycles.
Pointer Chasing: 3021667 cycles.
Pointer Chasing: 2971581 cycles.
Pointer Chasing: 2963627 cycles.
Pointer Chasing: 2995809 cycles.
Pointer Chasing: 2968253 cycles.
Pointer Chasing: 2979623 cycles.
Pointer Chasing: 3018139 cycles.
Pointer Chasing: 2963623 cycles.
Pointer Chasing: 2960988 cycles.
Pointer Chasing: 3019494 cycles.
Pointer Chasing: 2972460 cycles.
Pointer Chasing: 2971185 cycles.
Pointer Chasing: 2971045 cycles.
Pointer Chasing: 2983596 cycles.
Pointer Chasing: 2970025 cycles.
Pointer Chasing: 2958408 cycles.
Pointer Chasing: 3041021 cycles.
Pointer Chasing: 2963809 cycles.
Pointer Chasing: 2974949 cycles.
Pointer Chasing: 3036589 cycles.
