buffer_size 32768
Pin to CPU 4
lfsr_bit 25
Pointer Chasing: 3021316 cycles.
Pointer Chasing: 2972996 cycles.
Pointer Chasing: 3308193 cycles.
Pointer Chasing: 2972083 cycles.
Pointer Chasing: 2970820 cycles.
Pointer Chasing: 2988385 cycles.
Pointer Chasing: 2975853 cycles.
Pointer Chasing: 2974047 cycles.
Pointer Chasing: 3085360 cycles.
Pointer Chasing: 2984309 cycles.
Pointer Chasing: 2979134 cycles.
Pointer Chasing: 3026240 cycles.
Pointer Chasing: 2983318 cycles.
Pointer Chasing: 2966225 cycles.
Pointer Chasing: 3090708 cycles.
Pointer Chasing: 2968497 cycles.
Pointer Chasing: 2972666 cycles.
Pointer Chasing: 2990687 cycles.
Pointer Chasing: 3052466 cycles.
Pointer Chasing: 2969557 cycles.
Pointer Chasing: 2974536 cycles.
Pointer Chasing: 3019162 cycles.
Pointer Chasing: 2981003 cycles.
Pointer Chasing: 2968864 cycles.
Pointer Chasing: 3023805 cycles.
Pointer Chasing: 2973550 cycles.
Pointer Chasing: 2970362 cycles.
Pointer Chasing: 3045353 cycles.
Pointer Chasing: 2966913 cycles.
Pointer Chasing: 2975828 cycles.
Pointer Chasing: 3052472 cycles.
Pointer Chasing: 2979010 cycles.
Pointer Chasing: 2973314 cycles.
Pointer Chasing: 3025258 cycles.
Pointer Chasing: 2977987 cycles.
Pointer Chasing: 2964703 cycles.
Pointer Chasing: 2985304 cycles.
Pointer Chasing: 2977697 cycles.
Pointer Chasing: 2966149 cycles.
Pointer Chasing: 2961079 cycles.
Pointer Chasing: 3038414 cycles.
Pointer Chasing: 2950660 cycles.
Pointer Chasing: 2966103 cycles.
Pointer Chasing: 3077938 cycles.
Pointer Chasing: 2974618 cycles.
Pointer Chasing: 2957845 cycles.
Pointer Chasing: 2990090 cycles.
Pointer Chasing: 2977496 cycles.
Pointer Chasing: 2978061 cycles.
Pointer Chasing: 2971854 cycles.
Pointer Chasing: 2971638 cycles.
Pointer Chasing: 2968531 cycles.
Pointer Chasing: 3042589 cycles.
Pointer Chasing: 2968346 cycles.
Pointer Chasing: 2991252 cycles.
Pointer Chasing: 3034958 cycles.
Pointer Chasing: 2961200 cycles.
Pointer Chasing: 2966220 cycles.
Pointer Chasing: 2979637 cycles.
Pointer Chasing: 3035246 cycles.
Pointer Chasing: 2966306 cycles.
Pointer Chasing: 2976225 cycles.
Pointer Chasing: 2980485 cycles.
Pointer Chasing: 2984928 cycles.
Pointer Chasing: 2977287 cycles.
Pointer Chasing: 3080102 cycles.
Pointer Chasing: 2963574 cycles.
Pointer Chasing: 2965275 cycles.
Pointer Chasing: 3028886 cycles.
Pointer Chasing: 2964213 cycles.
Pointer Chasing: 2973506 cycles.
Pointer Chasing: 3030830 cycles.
Pointer Chasing: 2985020 cycles.
Pointer Chasing: 2980269 cycles.
Pointer Chasing: 2968212 cycles.
Pointer Chasing: 2962071 cycles.
Pointer Chasing: 2978081 cycles.
Pointer Chasing: 2968865 cycles.
Pointer Chasing: 3031360 cycles.
Pointer Chasing: 2968153 cycles.
Pointer Chasing: 2965349 cycles.
Pointer Chasing: 3027453 cycles.
Pointer Chasing: 2977783 cycles.
Pointer Chasing: 2960931 cycles.
Pointer Chasing: 2973608 cycles.
Pointer Chasing: 2981070 cycles.
Pointer Chasing: 2976024 cycles.
Pointer Chasing: 2965173 cycles.
Pointer Chasing: 2974203 cycles.
Pointer Chasing: 2977302 cycles.
Pointer Chasing: 3037231 cycles.
Pointer Chasing: 2969194 cycles.
Pointer Chasing: 2980612 cycles.
Pointer Chasing: 3035513 cycles.
Pointer Chasing: 2973614 cycles.
Pointer Chasing: 2972953 cycles.
Pointer Chasing: 2972661 cycles.
Pointer Chasing: 3025877 cycles.
Pointer Chasing: 2973157 cycles.
Pointer Chasing: 2976466 cycles.
Pointer Chasing: 2993788 cycles.
Pointer Chasing: 2977986 cycles.
Pointer Chasing: 2976820 cycles.
Pointer Chasing: 3034686 cycles.
Pointer Chasing: 2968311 cycles.
Pointer Chasing: 2983627 cycles.
Pointer Chasing: 3029258 cycles.
Pointer Chasing: 2963652 cycles.
Pointer Chasing: 2976719 cycles.
Pointer Chasing: 3024140 cycles.
Pointer Chasing: 2969871 cycles.
Pointer Chasing: 2966062 cycles.
Pointer Chasing: 3027975 cycles.
Pointer Chasing: 2983872 cycles.
Pointer Chasing: 2969874 cycles.
Pointer Chasing: 2970381 cycles.
Pointer Chasing: 3029137 cycles.
