buffer_size 16384
Pin to CPU 0
lfsr_bit 25
Pointer Chasing: 3256171 cycles.
Pointer Chasing: 3739961 cycles.
Pointer Chasing: 3219498 cycles.
Pointer Chasing: 3292035 cycles.
Pointer Chasing: 3211490 cycles.
Pointer Chasing: 3278014 cycles.
Pointer Chasing: 3211621 cycles.
Pointer Chasing: 3299541 cycles.
Pointer Chasing: 3208264 cycles.
Pointer Chasing: 3339850 cycles.
Pointer Chasing: 3212415 cycles.
Pointer Chasing: 3264237 cycles.
Pointer Chasing: 3254092 cycles.
Pointer Chasing: 3237301 cycles.
Pointer Chasing: 3211027 cycles.
Pointer Chasing: 3237408 cycles.
Pointer Chasing: 3210504 cycles.
Pointer Chasing: 3293878 cycles.
Pointer Chasing: 3212294 cycles.
Pointer Chasing: 3248171 cycles.
Pointer Chasing: 3213006 cycles.
Pointer Chasing: 3237591 cycles.
Pointer Chasing: 3209712 cycles.
Pointer Chasing: 3211399 cycles.
Pointer Chasing: 3318122 cycles.
Pointer Chasing: 3215672 cycles.
Pointer Chasing: 3287217 cycles.
Pointer Chasing: 3211748 cycles.
Pointer Chasing: 3301726 cycles.
Pointer Chasing: 3211946 cycles.
Pointer Chasing: 3264282 cycles.
Pointer Chasing: 3213493 cycles.
Pointer Chasing: 3255319 cycles.
Pointer Chasing: 3212178 cycles.
Pointer Chasing: 3335102 cycles.
Pointer Chasing: 3213288 cycles.
Pointer Chasing: 3296425 cycles.
Pointer Chasing: 3212298 cycles.
Pointer Chasing: 3230117 cycles.
Pointer Chasing: 3209430 cycles.
Pointer Chasing: 3229593 cycles.
Pointer Chasing: 3211151 cycles.
Pointer Chasing: 3289891 cycles.
Pointer Chasing: 3212753 cycles.
Pointer Chasing: 3239344 cycles.
Pointer Chasing: 3211955 cycles.
Pointer Chasing: 3209931 cycles.
Pointer Chasing: 3356838 cycles.
Pointer Chasing: 3215595 cycles.
Pointer Chasing: 3299224 cycles.
Pointer Chasing: 3213176 cycles.
Pointer Chasing: 3331836 cycles.
Pointer Chasing: 3212065 cycles.
Pointer Chasing: 3246285 cycles.
Pointer Chasing: 3211225 cycles.
Pointer Chasing: 3238689 cycles.
Pointer Chasing: 3210317 cycles.
Pointer Chasing: 3261480 cycles.
Pointer Chasing: 3208772 cycles.
Pointer Chasing: 3308923 cycles.
Pointer Chasing: 3212232 cycles.
Pointer Chasing: 3269544 cycles.
Pointer Chasing: 3213050 cycles.
Pointer Chasing: 3294095 cycles.
Pointer Chasing: 3210172 cycles.
Pointer Chasing: 3234430 cycles.
Pointer Chasing: 3208659 cycles.
Pointer Chasing: 3308394 cycles.
Pointer Chasing: 3212399 cycles.
Pointer Chasing: 3212992 cycles.
Pointer Chasing: 3261268 cycles.
Pointer Chasing: 3297636 cycles.
Pointer Chasing: 3355474 cycles.
Pointer Chasing: 3212951 cycles.
Pointer Chasing: 3306388 cycles.
Pointer Chasing: 3212170 cycles.
Pointer Chasing: 3333439 cycles.
Pointer Chasing: 3227725 cycles.
Pointer Chasing: 3260144 cycles.
Pointer Chasing: 3212806 cycles.
Pointer Chasing: 3237201 cycles.
Pointer Chasing: 3211704 cycles.
Pointer Chasing: 3231404 cycles.
Pointer Chasing: 3210533 cycles.
Pointer Chasing: 3291642 cycles.
Pointer Chasing: 3212101 cycles.
Pointer Chasing: 3263858 cycles.
Pointer Chasing: 3212087 cycles.
Pointer Chasing: 3232848 cycles.
Pointer Chasing: 3212332 cycles.
Pointer Chasing: 3231116 cycles.
Pointer Chasing: 3212473 cycles.
Pointer Chasing: 3316540 cycles.
Pointer Chasing: 3214284 cycles.
Pointer Chasing: 3285771 cycles.
Pointer Chasing: 3211621 cycles.
Pointer Chasing: 3210761 cycles.
Pointer Chasing: 3259370 cycles.
Pointer Chasing: 3212253 cycles.
Pointer Chasing: 3274537 cycles.
Pointer Chasing: 3213302 cycles.
Pointer Chasing: 3405179 cycles.
Pointer Chasing: 3211575 cycles.
Pointer Chasing: 3245226 cycles.
Pointer Chasing: 3210130 cycles.
Pointer Chasing: 3237200 cycles.
Pointer Chasing: 3211970 cycles.
Pointer Chasing: 3228506 cycles.
Pointer Chasing: 3213031 cycles.
Pointer Chasing: 3275492 cycles.
Pointer Chasing: 3210647 cycles.
Pointer Chasing: 3246764 cycles.
Pointer Chasing: 3211688 cycles.
Pointer Chasing: 3233540 cycles.
Pointer Chasing: 3209939 cycles.
Pointer Chasing: 3268605 cycles.
Pointer Chasing: 3227557 cycles.
Pointer Chasing: 3212096 cycles.
Pointer Chasing: 3314725 cycles.
Pointer Chasing: 3210384 cycles.
Pointer Chasing: 3249941 cycles.
Pointer Chasing: 3211896 cycles.
Pointer Chasing: 3343498 cycles.
Pointer Chasing: 3216295 cycles.
Pointer Chasing: 3282539 cycles.
Pointer Chasing: 3211731 cycles.
Pointer Chasing: 3290071 cycles.
Pointer Chasing: 3212489 cycles.
Pointer Chasing: 3283095 cycles.
Pointer Chasing: 3209870 cycles.
Pointer Chasing: 3269447 cycles.
Pointer Chasing: 3212497 cycles.
Pointer Chasing: 3232301 cycles.
Pointer Chasing: 3210645 cycles.
Pointer Chasing: 3328575 cycles.
Pointer Chasing: 3211346 cycles.
Pointer Chasing: 3274768 cycles.
Pointer Chasing: 3224477 cycles.
Pointer Chasing: 3356184 cycles.
Pointer Chasing: 3214728 cycles.
Pointer Chasing: 3322232 cycles.
Pointer Chasing: 3211539 cycles.
Pointer Chasing: 3309211 cycles.
Pointer Chasing: 3256565 cycles.
Pointer Chasing: 3210875 cycles.
Pointer Chasing: 3274831 cycles.
Pointer Chasing: 3211768 cycles.
Pointer Chasing: 3233068 cycles.
Pointer Chasing: 3225673 cycles.
Pointer Chasing: 3282207 cycles.
Pointer Chasing: 3211352 cycles.
Pointer Chasing: 3317765 cycles.
Pointer Chasing: 3211766 cycles.
Pointer Chasing: 3259762 cycles.
Pointer Chasing: 3214254 cycles.
Pointer Chasing: 3292329 cycles.
Pointer Chasing: 3208585 cycles.
Pointer Chasing: 3235257 cycles.
Pointer Chasing: 3211649 cycles.
Pointer Chasing: 3326512 cycles.
Pointer Chasing: 3212709 cycles.
Pointer Chasing: 3331649 cycles.
Pointer Chasing: 3227411 cycles.
Pointer Chasing: 3363358 cycles.
Pointer Chasing: 3223322 cycles.
Pointer Chasing: 3286889 cycles.
Pointer Chasing: 3224859 cycles.
Pointer Chasing: 3370547 cycles.
Pointer Chasing: 3212614 cycles.
Pointer Chasing: 3252430 cycles.
Pointer Chasing: 3226672 cycles.
Pointer Chasing: 3211289 cycles.
Pointer Chasing: 3251426 cycles.
Pointer Chasing: 3212413 cycles.
Pointer Chasing: 3235641 cycles.
Pointer Chasing: 3214271 cycles.
Pointer Chasing: 3306658 cycles.
Pointer Chasing: 3210359 cycles.
Pointer Chasing: 3243412 cycles.
Pointer Chasing: 3211507 cycles.
Pointer Chasing: 3236767 cycles.
Pointer Chasing: 3351163 cycles.
Pointer Chasing: 3250692 cycles.
Pointer Chasing: 3211481 cycles.
Pointer Chasing: 3402614 cycles.
Pointer Chasing: 3214237 cycles.
Pointer Chasing: 3359608 cycles.
Pointer Chasing: 3250772 cycles.
Pointer Chasing: 3286699 cycles.
Pointer Chasing: 3212523 cycles.
Pointer Chasing: 3259554 cycles.
Pointer Chasing: 3227943 cycles.
Pointer Chasing: 3352929 cycles.
Pointer Chasing: 3212775 cycles.
Pointer Chasing: 3250948 cycles.
Pointer Chasing: 3211811 cycles.
Pointer Chasing: 3209816 cycles.
Pointer Chasing: 3273188 cycles.
Pointer Chasing: 3211277 cycles.
Pointer Chasing: 3278249 cycles.
Pointer Chasing: 3209941 cycles.
Pointer Chasing: 3359147 cycles.
Pointer Chasing: 3228744 cycles.
Pointer Chasing: 3265057 cycles.
Pointer Chasing: 3212350 cycles.
Pointer Chasing: 3246356 cycles.
Pointer Chasing: 3212696 cycles.
Pointer Chasing: 3306720 cycles.
Pointer Chasing: 3214297 cycles.
Pointer Chasing: 3372830 cycles.
Pointer Chasing: 3211882 cycles.
Pointer Chasing: 3246326 cycles.
Pointer Chasing: 3208420 cycles.
Pointer Chasing: 3282199 cycles.
Pointer Chasing: 3211255 cycles.
Pointer Chasing: 3326533 cycles.
Pointer Chasing: 3211351 cycles.
Pointer Chasing: 3333285 cycles.
Pointer Chasing: 3211647 cycles.
Pointer Chasing: 3290913 cycles.
Pointer Chasing: 3212249 cycles.
Pointer Chasing: 3209890 cycles.
Pointer Chasing: 3251052 cycles.
Pointer Chasing: 3210958 cycles.
Pointer Chasing: 3275883 cycles.
Pointer Chasing: 3213415 cycles.
Pointer Chasing: 3316825 cycles.
Pointer Chasing: 3210696 cycles.
Pointer Chasing: 3289319 cycles.
Pointer Chasing: 3212023 cycles.
Pointer Chasing: 3287109 cycles.
Pointer Chasing: 3210727 cycles.
Pointer Chasing: 3261628 cycles.
Pointer Chasing: 3210433 cycles.
Pointer Chasing: 3327727 cycles.
Pointer Chasing: 3212288 cycles.
Pointer Chasing: 3282374 cycles.
Pointer Chasing: 3212734 cycles.
Pointer Chasing: 3234752 cycles.
Pointer Chasing: 3209507 cycles.
Pointer Chasing: 3242820 cycles.
Pointer Chasing: 3214133 cycles.
Pointer Chasing: 3397839 cycles.
Pointer Chasing: 3211756 cycles.
Pointer Chasing: 3295657 cycles.
Pointer Chasing: 3209455 cycles.
Pointer Chasing: 3212090 cycles.
Pointer Chasing: 3250869 cycles.
Pointer Chasing: 3212881 cycles.
Pointer Chasing: 3228100 cycles.
Pointer Chasing: 3211786 cycles.
Pointer Chasing: 3280646 cycles.
Pointer Chasing: 3211515 cycles.
Pointer Chasing: 3326126 cycles.
Pointer Chasing: 3211276 cycles.
Pointer Chasing: 3233692 cycles.
Pointer Chasing: 3212772 cycles.
Pointer Chasing: 3228600 cycles.
Pointer Chasing: 3208749 cycles.
Pointer Chasing: 3291369 cycles.
Pointer Chasing: 3214456 cycles.
Pointer Chasing: 3294961 cycles.
Pointer Chasing: 3211659 cycles.
Pointer Chasing: 3277217 cycles.
Pointer Chasing: 3211222 cycles.
Pointer Chasing: 3229752 cycles.
Pointer Chasing: 3208210 cycles.
Pointer Chasing: 3210730 cycles.
Pointer Chasing: 3305421 cycles.
Pointer Chasing: 3214103 cycles.
Pointer Chasing: 3285778 cycles.
Pointer Chasing: 3211261 cycles.
Pointer Chasing: 3238978 cycles.
Pointer Chasing: 3212047 cycles.
Pointer Chasing: 3262183 cycles.
Pointer Chasing: 3210527 cycles.
Pointer Chasing: 3311537 cycles.
Pointer Chasing: 3208430 cycles.
Pointer Chasing: 3285769 cycles.
Pointer Chasing: 3210780 cycles.
Pointer Chasing: 3229441 cycles.
Pointer Chasing: 3211087 cycles.
Pointer Chasing: 3229113 cycles.
Pointer Chasing: 3213307 cycles.
Pointer Chasing: 3281284 cycles.
Pointer Chasing: 3211530 cycles.
Pointer Chasing: 3282125 cycles.
Pointer Chasing: 3211982 cycles.
Pointer Chasing: 3307546 cycles.
Pointer Chasing: 3211789 cycles.
Pointer Chasing: 3209253 cycles.
Pointer Chasing: 3232842 cycles.
Pointer Chasing: 3211505 cycles.
Pointer Chasing: 3276635 cycles.
Pointer Chasing: 3212885 cycles.
Pointer Chasing: 3265051 cycles.
Pointer Chasing: 3211790 cycles.
Pointer Chasing: 3297886 cycles.
Pointer Chasing: 3212517 cycles.
Pointer Chasing: 3314266 cycles.
Pointer Chasing: 3209813 cycles.
Pointer Chasing: 3336624 cycles.
Pointer Chasing: 3212102 cycles.
Pointer Chasing: 3250360 cycles.
Pointer Chasing: 3211033 cycles.
Pointer Chasing: 3233490 cycles.
Pointer Chasing: 3226130 cycles.
Pointer Chasing: 3309671 cycles.
Pointer Chasing: 3209693 cycles.
Pointer Chasing: 3338286 cycles.
Pointer Chasing: 3211911 cycles.
Pointer Chasing: 3269781 cycles.
Pointer Chasing: 3226054 cycles.
Pointer Chasing: 3292238 cycles.
Pointer Chasing: 3211541 cycles.
Pointer Chasing: 3211195 cycles.
Pointer Chasing: 3273999 cycles.
Pointer Chasing: 3226377 cycles.
Pointer Chasing: 3349327 cycles.
Pointer Chasing: 3212612 cycles.
Pointer Chasing: 3245684 cycles.
Pointer Chasing: 3213100 cycles.
Pointer Chasing: 3275182 cycles.
Pointer Chasing: 3226181 cycles.
Pointer Chasing: 3299794 cycles.
Pointer Chasing: 3210652 cycles.
Pointer Chasing: 3347373 cycles.
Pointer Chasing: 3213359 cycles.
Pointer Chasing: 3316439 cycles.
Pointer Chasing: 3211283 cycles.
Pointer Chasing: 3289142 cycles.
Pointer Chasing: 3212418 cycles.
Pointer Chasing: 3231276 cycles.
Pointer Chasing: 3219902 cycles.
Pointer Chasing: 3333586 cycles.
Pointer Chasing: 3211319 cycles.
Pointer Chasing: 3248791 cycles.
Pointer Chasing: 3210396 cycles.
Pointer Chasing: 3210296 cycles.
Pointer Chasing: 3286456 cycles.
Pointer Chasing: 3208448 cycles.
Pointer Chasing: 3294325 cycles.
Pointer Chasing: 3208650 cycles.
Pointer Chasing: 3290841 cycles.
Pointer Chasing: 3224560 cycles.
Pointer Chasing: 3344310 cycles.
Pointer Chasing: 3213236 cycles.
Pointer Chasing: 3241033 cycles.
Pointer Chasing: 3209022 cycles.
Pointer Chasing: 3229803 cycles.
Pointer Chasing: 3225913 cycles.
Pointer Chasing: 3349830 cycles.
Pointer Chasing: 3208188 cycles.
Pointer Chasing: 3251264 cycles.
Pointer Chasing: 3211784 cycles.
Pointer Chasing: 3249414 cycles.
Pointer Chasing: 3211365 cycles.
Pointer Chasing: 3288497 cycles.
Pointer Chasing: 3210825 cycles.
Pointer Chasing: 3290881 cycles.
Pointer Chasing: 3213176 cycles.
Pointer Chasing: 3341126 cycles.
Pointer Chasing: 3209710 cycles.
Pointer Chasing: 3210176 cycles.
Pointer Chasing: 3311843 cycles.
Pointer Chasing: 3211459 cycles.
Pointer Chasing: 3358257 cycles.
Pointer Chasing: 3213341 cycles.
Pointer Chasing: 3442505 cycles.
Pointer Chasing: 3212413 cycles.
Pointer Chasing: 3274930 cycles.
Pointer Chasing: 3214053 cycles.
Pointer Chasing: 3280468 cycles.
Pointer Chasing: 3212560 cycles.
Pointer Chasing: 3234325 cycles.
Pointer Chasing: 3211511 cycles.
Pointer Chasing: 3302819 cycles.
Pointer Chasing: 3226693 cycles.
Pointer Chasing: 3283843 cycles.
Pointer Chasing: 3212516 cycles.
Pointer Chasing: 3246050 cycles.
Pointer Chasing: 3210707 cycles.
Pointer Chasing: 3246266 cycles.
Pointer Chasing: 3211332 cycles.
Pointer Chasing: 3331402 cycles.
Pointer Chasing: 3212103 cycles.
Pointer Chasing: 3279523 cycles.
Pointer Chasing: 3212575 cycles.
