buffer_size 16384
Pin to CPU 0
Pointer Chasing: 3212399 cycles.
Pointer Chasing: 3233391 cycles.
Pointer Chasing: 3209759 cycles.
Pointer Chasing: 3298049 cycles.
Pointer Chasing: 3212749 cycles.
Pointer Chasing: 3331839 cycles.
Pointer Chasing: 3226116 cycles.
Pointer Chasing: 3260002 cycles.
Pointer Chasing: 3211073 cycles.
Pointer Chasing: 3238580 cycles.
Pointer Chasing: 3212668 cycles.
Pointer Chasing: 3250242 cycles.
Pointer Chasing: 3211126 cycles.
Pointer Chasing: 3309828 cycles.
Pointer Chasing: 3213997 cycles.
Pointer Chasing: 3254713 cycles.
Pointer Chasing: 3212747 cycles.
Pointer Chasing: 3312807 cycles.
Pointer Chasing: 3212390 cycles.
Pointer Chasing: 3234027 cycles.
Pointer Chasing: 3211022 cycles.
Pointer Chasing: 3320085 cycles.
Pointer Chasing: 3209807 cycles.
Pointer Chasing: 3212043 cycles.
Pointer Chasing: 3285631 cycles.
Pointer Chasing: 3210843 cycles.
Pointer Chasing: 3272532 cycles.
Pointer Chasing: 3208514 cycles.
Pointer Chasing: 3230724 cycles.
Pointer Chasing: 3207978 cycles.
Pointer Chasing: 3302356 cycles.
Pointer Chasing: 3213254 cycles.
Pointer Chasing: 3305928 cycles.
Pointer Chasing: 3227009 cycles.
Pointer Chasing: 3307090 cycles.
Pointer Chasing: 3213491 cycles.
Pointer Chasing: 3287927 cycles.
Pointer Chasing: 3213442 cycles.
Pointer Chasing: 3309154 cycles.
Pointer Chasing: 3225927 cycles.
Pointer Chasing: 3255383 cycles.
Pointer Chasing: 3213057 cycles.
Pointer Chasing: 3237852 cycles.
Pointer Chasing: 3211041 cycles.
Pointer Chasing: 3236269 cycles.
Pointer Chasing: 3210880 cycles.
Pointer Chasing: 3213733 cycles.
Pointer Chasing: 3282418 cycles.
Pointer Chasing: 3212537 cycles.
Pointer Chasing: 3313499 cycles.
Pointer Chasing: 3212466 cycles.
Pointer Chasing: 3290656 cycles.
Pointer Chasing: 3214018 cycles.
Pointer Chasing: 3230515 cycles.
Pointer Chasing: 3210634 cycles.
Pointer Chasing: 3318520 cycles.
Pointer Chasing: 3211497 cycles.
Pointer Chasing: 3245865 cycles.
Pointer Chasing: 3209453 cycles.
Pointer Chasing: 3229973 cycles.
Pointer Chasing: 3210006 cycles.
Pointer Chasing: 3228243 cycles.
Pointer Chasing: 3212772 cycles.
Pointer Chasing: 3276659 cycles.
Pointer Chasing: 3223547 cycles.
Pointer Chasing: 3295249 cycles.
Pointer Chasing: 3213102 cycles.
Pointer Chasing: 3264569 cycles.
Pointer Chasing: 3212859 cycles.
Pointer Chasing: 3211943 cycles.
Pointer Chasing: 3228329 cycles.
Pointer Chasing: 3210644 cycles.
Pointer Chasing: 3371912 cycles.
Pointer Chasing: 3209174 cycles.
Pointer Chasing: 3284110 cycles.
Pointer Chasing: 3209701 cycles.
Pointer Chasing: 3237334 cycles.
Pointer Chasing: 3210482 cycles.
Pointer Chasing: 3264137 cycles.
Pointer Chasing: 3210156 cycles.
Pointer Chasing: 3293124 cycles.
Pointer Chasing: 3213274 cycles.
Pointer Chasing: 3246651 cycles.
Pointer Chasing: 3213232 cycles.
Pointer Chasing: 3228249 cycles.
Pointer Chasing: 3212581 cycles.
Pointer Chasing: 3228634 cycles.
Pointer Chasing: 3209057 cycles.
Pointer Chasing: 3300356 cycles.
Pointer Chasing: 3212068 cycles.
Pointer Chasing: 3212910 cycles.
Pointer Chasing: 3238996 cycles.
Pointer Chasing: 3211706 cycles.
Pointer Chasing: 3233143 cycles.
Pointer Chasing: 3210900 cycles.
Pointer Chasing: 3328766 cycles.
Pointer Chasing: 3252493 cycles.
Pointer Chasing: 3348265 cycles.
Pointer Chasing: 3209991 cycles.
Pointer Chasing: 3306569 cycles.
Pointer Chasing: 3212283 cycles.
Pointer Chasing: 3307914 cycles.
Pointer Chasing: 3210187 cycles.
Pointer Chasing: 3268607 cycles.
Pointer Chasing: 3226482 cycles.
Pointer Chasing: 3307713 cycles.
Pointer Chasing: 3212131 cycles.
Pointer Chasing: 3250031 cycles.
Pointer Chasing: 3217130 cycles.
Pointer Chasing: 3242534 cycles.
Pointer Chasing: 3264059 cycles.
Pointer Chasing: 3256075 cycles.
buffer_size 20480
Pin to CPU 0
lfsr_bit 25
Pointer Chasing: 4040991 cycles.
Pointer Chasing: 4226433 cycles.
Pointer Chasing: 4167602 cycles.
Pointer Chasing: 4013180 cycles.
Pointer Chasing: 4161290 cycles.
Pointer Chasing: 4016810 cycles.
Pointer Chasing: 4064876 cycles.
Pointer Chasing: 4123327 cycles.
Pointer Chasing: 4029221 cycles.
Pointer Chasing: 4165382 cycles.
Pointer Chasing: 4015366 cycles.
Pointer Chasing: 4051864 cycles.
Pointer Chasing: 4057440 cycles.
Pointer Chasing: 4015507 cycles.
Pointer Chasing: 4106700 cycles.
Pointer Chasing: 4020880 cycles.
Pointer Chasing: 4053174 cycles.
Pointer Chasing: 4080058 cycles.
Pointer Chasing: 4013770 cycles.
Pointer Chasing: 4057346 cycles.
Pointer Chasing: 4016859 cycles.
Pointer Chasing: 4172898 cycles.
Pointer Chasing: 4056904 cycles.
Pointer Chasing: 4016393 cycles.
Pointer Chasing: 4075175 cycles.
Pointer Chasing: 4016110 cycles.
Pointer Chasing: 4034324 cycles.
Pointer Chasing: 4093106 cycles.
Pointer Chasing: 4015756 cycles.
Pointer Chasing: 4080584 cycles.
Pointer Chasing: 4012953 cycles.
Pointer Chasing: 4090985 cycles.
Pointer Chasing: 4070337 cycles.
Pointer Chasing: 4015129 cycles.
Pointer Chasing: 4092655 cycles.
Pointer Chasing: 4018320 cycles.
Pointer Chasing: 4086753 cycles.
Pointer Chasing: 4031574 cycles.
Pointer Chasing: 4015514 cycles.
Pointer Chasing: 4123170 cycles.
Pointer Chasing: 4018868 cycles.
Pointer Chasing: 4157184 cycles.
Pointer Chasing: 4049814 cycles.
Pointer Chasing: 4014449 cycles.
Pointer Chasing: 4058070 cycles.
Pointer Chasing: 4015288 cycles.
Pointer Chasing: 4100360 cycles.
Pointer Chasing: 4125482 cycles.
Pointer Chasing: 4015614 cycles.
Pointer Chasing: 4093886 cycles.
Pointer Chasing: 4016650 cycles.
Pointer Chasing: 4034467 cycles.
Pointer Chasing: 4074621 cycles.
Pointer Chasing: 4014966 cycles.
Pointer Chasing: 4084834 cycles.
Pointer Chasing: 4016279 cycles.
Pointer Chasing: 4048728 cycles.
Pointer Chasing: 4094424 cycles.
Pointer Chasing: 4016014 cycles.
Pointer Chasing: 4102306 cycles.
Pointer Chasing: 4017329 cycles.
Pointer Chasing: 4096228 cycles.
Pointer Chasing: 4153829 cycles.
Pointer Chasing: 4016170 cycles.
Pointer Chasing: 4041629 cycles.
Pointer Chasing: 4013151 cycles.
Pointer Chasing: 4097815 cycles.
Pointer Chasing: 4156030 cycles.
Pointer Chasing: 4015178 cycles.
Pointer Chasing: 4114825 cycles.
Pointer Chasing: 4016847 cycles.
Pointer Chasing: 4059688 cycles.
Pointer Chasing: 4050345 cycles.
Pointer Chasing: 4018033 cycles.
Pointer Chasing: 4171616 cycles.
Pointer Chasing: 4015699 cycles.
Pointer Chasing: 4195067 cycles.
Pointer Chasing: 4093190 cycles.
Pointer Chasing: 4015036 cycles.
Pointer Chasing: 4080739 cycles.
Pointer Chasing: 4016653 cycles.
Pointer Chasing: 4094586 cycles.
Pointer Chasing: 4049364 cycles.
Pointer Chasing: 4015581 cycles.
Pointer Chasing: 4041068 cycles.
Pointer Chasing: 4012522 cycles.
Pointer Chasing: 4036325 cycles.
Pointer Chasing: 4086791 cycles.
Pointer Chasing: 4073341 cycles.
Pointer Chasing: 4110433 cycles.
Pointer Chasing: 4014624 cycles.
Pointer Chasing: 4034871 cycles.
Pointer Chasing: 4030786 cycles.
Pointer Chasing: 4015868 cycles.
Pointer Chasing: 4183229 cycles.
Pointer Chasing: 4014898 cycles.
Pointer Chasing: 4104073 cycles.
Pointer Chasing: 4035709 cycles.
Pointer Chasing: 4015640 cycles.
Pointer Chasing: 4035130 cycles.
Pointer Chasing: 4015367 cycles.
Pointer Chasing: 4105127 cycles.
Pointer Chasing: 4083096 cycles.
Pointer Chasing: 4013689 cycles.
Pointer Chasing: 4032438 cycles.
Pointer Chasing: 4012013 cycles.
Pointer Chasing: 4034152 cycles.
Pointer Chasing: 4013766 cycles.
Pointer Chasing: 4121841 cycles.
Pointer Chasing: 4045003 cycles.
Pointer Chasing: 4015832 cycles.
Pointer Chasing: 4040851 cycles.
Pointer Chasing: 4016237 cycles.
Pointer Chasing: 4133134 cycles.
Pointer Chasing: 4150559 cycles.
Pointer Chasing: 4012999 cycles.
Pointer Chasing: 4077876 cycles.
Pointer Chasing: 4015253 cycles.
Pointer Chasing: 4041504 cycles.
Pointer Chasing: 4041144 cycles.
Pointer Chasing: 4015239 cycles.
Pointer Chasing: 4101028 cycles.
Pointer Chasing: 4016633 cycles.
Pointer Chasing: 4061474 cycles.
Pointer Chasing: 4068667 cycles.
Pointer Chasing: 4011268 cycles.
Pointer Chasing: 4035502 cycles.
Pointer Chasing: 4012665 cycles.
Pointer Chasing: 4087065 cycles.
Pointer Chasing: 4044276 cycles.
Pointer Chasing: 4011826 cycles.
Pointer Chasing: 4123722 cycles.
Pointer Chasing: 4015382 cycles.
Pointer Chasing: 4096728 cycles.
Pointer Chasing: 4092120 cycles.
Pointer Chasing: 4014538 cycles.
Pointer Chasing: 4052495 cycles.
Pointer Chasing: 4012118 cycles.
Pointer Chasing: 4037373 cycles.
Pointer Chasing: 4029421 cycles.
Pointer Chasing: 4014109 cycles.
Pointer Chasing: 4082811 cycles.
Pointer Chasing: 4013890 cycles.
Pointer Chasing: 4051003 cycles.
Pointer Chasing: 4135737 cycles.
Pointer Chasing: 4015808 cycles.
Pointer Chasing: 4106206 cycles.
Pointer Chasing: 4017406 cycles.
Pointer Chasing: 4099643 cycles.
Pointer Chasing: 4109207 cycles.
Pointer Chasing: 4056038 cycles.
Pointer Chasing: 4103442 cycles.
Pointer Chasing: 4015948 cycles.
Pointer Chasing: 4064869 cycles.
Pointer Chasing: 4099303 cycles.
Pointer Chasing: 4012266 cycles.
Pointer Chasing: 4136326 cycles.
Pointer Chasing: 4013685 cycles.
Pointer Chasing: 4057622 cycles.
Pointer Chasing: 4034654 cycles.
Pointer Chasing: 4014961 cycles.
Pointer Chasing: 4102395 cycles.
Pointer Chasing: 4013693 cycles.
Pointer Chasing: 4061304 cycles.
Pointer Chasing: 4067731 cycles.
Pointer Chasing: 4015179 cycles.
Pointer Chasing: 4067471 cycles.
Pointer Chasing: 4014659 cycles.
Pointer Chasing: 4175561 cycles.
Pointer Chasing: 4136404 cycles.
Pointer Chasing: 4015789 cycles.
Pointer Chasing: 4092315 cycles.
Pointer Chasing: 4015435 cycles.
Pointer Chasing: 4106581 cycles.
Pointer Chasing: 4147688 cycles.
Pointer Chasing: 4014542 cycles.
Pointer Chasing: 4043757 cycles.
Pointer Chasing: 4011983 cycles.
Pointer Chasing: 4035638 cycles.
Pointer Chasing: 4031387 cycles.
Pointer Chasing: 4017819 cycles.
Pointer Chasing: 4162531 cycles.
Pointer Chasing: 4016130 cycles.
Pointer Chasing: 4069996 cycles.
Pointer Chasing: 4106451 cycles.
Pointer Chasing: 4068529 cycles.
Pointer Chasing: 4170439 cycles.
Pointer Chasing: 4015236 cycles.
Pointer Chasing: 4205492 cycles.
Pointer Chasing: 4117260 cycles.
Pointer Chasing: 4013717 cycles.
Pointer Chasing: 4045259 cycles.
Pointer Chasing: 4015020 cycles.
Pointer Chasing: 4035384 cycles.
Pointer Chasing: 4168102 cycles.
Pointer Chasing: 4017821 cycles.
Pointer Chasing: 4046522 cycles.
Pointer Chasing: 4014788 cycles.
Pointer Chasing: 4038708 cycles.
Pointer Chasing: 4035411 cycles.
Pointer Chasing: 4014360 cycles.
Pointer Chasing: 4080739 cycles.
Pointer Chasing: 4015420 cycles.
Pointer Chasing: 4050958 cycles.
Pointer Chasing: 4078663 cycles.
Pointer Chasing: 4017928 cycles.
Pointer Chasing: 4041507 cycles.
Pointer Chasing: 4013581 cycles.
Pointer Chasing: 4086615 cycles.
Pointer Chasing: 4052506 cycles.
Pointer Chasing: 4016519 cycles.
Pointer Chasing: 4034332 cycles.
Pointer Chasing: 4013735 cycles.
Pointer Chasing: 4035322 cycles.
Pointer Chasing: 4012965 cycles.
Pointer Chasing: 4080996 cycles.
Pointer Chasing: 4084373 cycles.
Pointer Chasing: 4015421 cycles.
Pointer Chasing: 4106918 cycles.
Pointer Chasing: 4029481 cycles.
Pointer Chasing: 4061219 cycles.
Pointer Chasing: 4100798 cycles.
Pointer Chasing: 4015115 cycles.
Pointer Chasing: 4096328 cycles.
Pointer Chasing: 4017363 cycles.
Pointer Chasing: 4050811 cycles.
Pointer Chasing: 4035182 cycles.
Pointer Chasing: 4014434 cycles.
Pointer Chasing: 4094094 cycles.
Pointer Chasing: 4015125 cycles.
Pointer Chasing: 4054226 cycles.
Pointer Chasing: 4032442 cycles.
