valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,420.654713,23.2257,0,S,,,,,,"ref iteration #1"
400.perlbench,9770,420.361003,23.241928,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,423.012054,23.096269,0,S,,,,,,"ref iteration #3"
400.perlbench,9770,420.638408,23.2266,0,S,,,,,,"ref iteration #4"
400.perlbench,9770,423.157101,23.088352,0,S,,,,,,"ref iteration #5"
400.perlbench,9770,417.541939,23.398847,0,S,,,,,,"ref iteration #6"
400.perlbench,9770,422.272611,23.136713,0,S,,,,,,"ref iteration #7"
400.perlbench,9770,421.166121,23.197497,0,S,,,,,,"ref iteration #8"
400.perlbench,9770,422.543567,23.121876,0,S,,,,,,"ref iteration #9"
400.perlbench,9770,421.868238,23.15889,1,S,,,,,,"ref iteration #10"
401.bzip2,9650,560.644741,17.212326,0,S,,,,,,"ref iteration #1"
401.bzip2,9650,559.949469,17.233698,0,S,,,,,,"ref iteration #2"
401.bzip2,9650,559.883003,17.235744,0,S,,,,,,"ref iteration #3"
401.bzip2,9650,561.277852,17.192911,0,S,,,,,,"ref iteration #4"
401.bzip2,9650,560.856478,17.205828,0,S,,,,,,"ref iteration #5"
401.bzip2,9650,559.855564,17.236589,0,S,,,,,,"ref iteration #6"
401.bzip2,9650,559.712789,17.240985,0,S,,,,,,"ref iteration #7"
401.bzip2,9650,560.430985,17.218891,0,S,,,,,,"ref iteration #8"
401.bzip2,9650,560.961879,17.202595,0,S,,,,,,"ref iteration #9"
401.bzip2,9650,560.588464,17.214054,1,S,,,,,,"ref iteration #10"
403.gcc,8050,264.44191,30.441468,0,S,,,,,,"ref iteration #1"
403.gcc,8050,264.136355,30.476683,0,S,,,,,,"ref iteration #2"
403.gcc,8050,264.437309,30.441998,1,S,,,,,,"ref iteration #3"
403.gcc,8050,263.450447,30.556031,0,S,,,,,,"ref iteration #4"
403.gcc,8050,264.434268,30.442348,0,S,,,,,,"ref iteration #5"
403.gcc,8050,264.426135,30.443284,0,S,,,,,,"ref iteration #6"
403.gcc,8050,263.782505,30.517566,0,S,,,,,,"ref iteration #7"
403.gcc,8050,265.145157,30.360728,0,S,,,,,,"ref iteration #8"
403.gcc,8050,265.2414,30.349712,0,S,,,,,,"ref iteration #9"
403.gcc,8050,265.436593,30.327393,0,S,,,,,,"ref iteration #10"
429.mcf,9120,347.241327,26.264155,0,S,,,,,,"ref iteration #1"
429.mcf,9120,354.038537,25.759908,0,S,,,,,,"ref iteration #2"
429.mcf,9120,370.100283,24.64197,0,S,,,,,,"ref iteration #3"
429.mcf,9120,372.660136,24.472701,0,S,,,,,,"ref iteration #4"
429.mcf,9120,336.206713,27.126169,0,S,,,,,,"ref iteration #5"
429.mcf,9120,351.610265,25.937809,0,S,,,,,,"ref iteration #6"
429.mcf,9120,369.533412,24.679771,0,S,,,,,,"ref iteration #7"
429.mcf,9120,380.078489,23.995044,0,S,,,,,,"ref iteration #8"
429.mcf,9120,343.266669,26.568266,0,S,,,,,,"ref iteration #9"
429.mcf,9120,368.876395,24.723729,1,S,,,,,,"ref iteration #10"
445.gobmk,10490,470.793379,22.281537,0,S,,,,,,"ref iteration #1"
445.gobmk,10490,474.398264,22.112223,0,S,,,,,,"ref iteration #2"
445.gobmk,10490,473.691346,22.145222,0,S,,,,,,"ref iteration #3"
445.gobmk,10490,475.515124,22.060287,0,S,,,,,,"ref iteration #4"
445.gobmk,10490,476.780973,22.001717,0,S,,,,,,"ref iteration #5"
445.gobmk,10490,474.527888,22.106182,1,S,,,,,,"ref iteration #6"
445.gobmk,10490,474.632816,22.101295,0,S,,,,,,"ref iteration #7"
445.gobmk,10490,477.501835,21.968502,0,S,,,,,,"ref iteration #8"
445.gobmk,10490,472.543779,22.199001,0,S,,,,,,"ref iteration #9"
445.gobmk,10490,473.903103,22.135327,0,S,,,,,,"ref iteration #10"
456.hmmer,9330,270.819257,34.451021,0,S,,,,,,"ref iteration #1"
456.hmmer,9330,272.081174,34.291237,0,S,,,,,,"ref iteration #2"
456.hmmer,9330,271.316805,34.387844,1,S,,,,,,"ref iteration #3"
456.hmmer,9330,270.873767,34.444088,0,S,,,,,,"ref iteration #4"
456.hmmer,9330,272.245411,34.27055,0,S,,,,,,"ref iteration #5"
456.hmmer,9330,271.27656,34.392946,0,S,,,,,,"ref iteration #6"
456.hmmer,9330,271.02475,34.4249,0,S,,,,,,"ref iteration #7"
456.hmmer,9330,271.229535,34.398909,0,S,,,,,,"ref iteration #8"
456.hmmer,9330,271.520957,34.361988,0,S,,,,,,"ref iteration #9"
456.hmmer,9330,271.690602,34.340533,0,S,,,,,,"ref iteration #10"
458.sjeng,12100,608.90373,19.871778,0,S,,,,,,"ref iteration #1"
458.sjeng,12100,596.698118,20.278261,0,S,,,,,,"ref iteration #2"
458.sjeng,12100,596.968521,20.269075,0,S,,,,,,"ref iteration #3"
458.sjeng,12100,608.355646,19.889681,0,S,,,,,,"ref iteration #4"
458.sjeng,12100,610.471162,19.820756,0,S,,,,,,"ref iteration #5"
458.sjeng,12100,588.417594,20.563627,0,S,,,,,,"ref iteration #6"
458.sjeng,12100,607.500245,19.917687,0,S,,,,,,"ref iteration #7"
458.sjeng,12100,586.49314,20.631102,0,S,,,,,,"ref iteration #8"
458.sjeng,12100,584.652972,20.696038,0,S,,,,,,"ref iteration #9"
458.sjeng,12100,604.928009,20.00238,1,S,,,,,,"ref iteration #10"
462.libquantum,20720,276.279498,74.996517,1,S,,,,,,"ref iteration #1"
462.libquantum,20720,242.63172,85.396913,0,S,,,,,,"ref iteration #2"
462.libquantum,20720,280.576265,73.848014,0,S,,,,,,"ref iteration #3"
462.libquantum,20720,247.579291,83.69036,0,S,,,,,,"ref iteration #4"
462.libquantum,20720,277.807394,74.584048,0,S,,,,,,"ref iteration #5"
462.libquantum,20720,253.698586,81.67172,0,S,,,,,,"ref iteration #6"
462.libquantum,20720,269.992411,76.742898,0,S,,,,,,"ref iteration #7"
462.libquantum,20720,278.016877,74.52785,0,S,,,,,,"ref iteration #8"
462.libquantum,20720,277.064679,74.783982,0,S,,,,,,"ref iteration #9"
462.libquantum,20720,270.513823,76.594977,0,S,,,,,,"ref iteration #10"
464.h264ref,22130,475.291384,46.560911,0,S,,,,,,"ref iteration #1"
464.h264ref,22130,477.57673,46.338104,0,S,,,,,,"ref iteration #2"
464.h264ref,22130,475.14778,46.574983,0,S,,,,,,"ref iteration #3"
464.h264ref,22130,475.701932,46.520728,0,S,,,,,,"ref iteration #4"
464.h264ref,22130,475.729067,46.518074,0,S,,,,,,"ref iteration #5"
