valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,292.783475,33.36937,0,S,,,,,,"ref iteration #1"
400.perlbench,9770,305.244899,32.007087,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,297.11596,32.882784,0,S,,,,,,"ref iteration #3"
400.perlbench,9770,289.899876,33.701291,0,S,,,,,,"ref iteration #4"
400.perlbench,9770,289.810973,33.711629,0,S,,,,,,"ref iteration #5"
400.perlbench,9770,288.228553,33.896711,0,S,,,,,,"ref iteration #6"
400.perlbench,9770,291.084233,33.564168,0,S,,,,,,"ref iteration #7"
400.perlbench,9770,291.115076,33.560612,1,S,,,,,,"ref iteration #8"
400.perlbench,9770,286.497984,34.101462,0,S,,,,,,"ref iteration #9"
400.perlbench,9770,294.080427,33.222204,0,S,,,,,,"ref iteration #10"
401.bzip2,9650,416.725102,23.156752,0,S,,,,,,"ref iteration #1"
401.bzip2,9650,415.900374,23.202672,0,S,,,,,,"ref iteration #2"
401.bzip2,9650,416.044331,23.194644,0,S,,,,,,"ref iteration #3"
401.bzip2,9650,417.034504,23.139572,0,S,,,,,,"ref iteration #4"
401.bzip2,9650,416.383636,23.175743,0,S,,,,,,"ref iteration #5"
401.bzip2,9650,416.859486,23.149287,1,S,,,,,,"ref iteration #6"
401.bzip2,9650,415.996411,23.197316,0,S,,,,,,"ref iteration #7"
401.bzip2,9650,417.329494,23.123216,0,S,,,,,,"ref iteration #8"
401.bzip2,9650,417.68647,23.103454,0,S,,,,,,"ref iteration #9"
401.bzip2,9650,416.989702,23.142058,0,S,,,,,,"ref iteration #10"
403.gcc,8050,196.918675,40.87982,0,S,,,,,,"ref iteration #1"
403.gcc,8050,197.858886,40.685562,0,S,,,,,,"ref iteration #2"
403.gcc,8050,198.218648,40.611719,0,S,,,,,,"ref iteration #3"
403.gcc,8050,197.627558,40.733186,0,S,,,,,,"ref iteration #4"
403.gcc,8050,199.317261,40.387872,0,S,,,,,,"ref iteration #5"
403.gcc,8050,197.849873,40.687416,0,S,,,,,,"ref iteration #6"
403.gcc,8050,198.594931,40.534771,0,S,,,,,,"ref iteration #7"
403.gcc,8050,199.491541,40.352588,0,S,,,,,,"ref iteration #8"
403.gcc,8050,198.436791,40.567074,1,S,,,,,,"ref iteration #9"
403.gcc,8050,198.7326,40.506691,0,S,,,,,,"ref iteration #10"
429.mcf,9120,177.316568,51.433434,0,S,,,,,,"ref iteration #1"
429.mcf,9120,180.565444,50.508003,0,S,,,,,,"ref iteration #2"
429.mcf,9120,179.681069,50.756599,0,S,,,,,,"ref iteration #3"
429.mcf,9120,179.865527,50.704547,0,S,,,,,,"ref iteration #4"
429.mcf,9120,183.734918,49.636727,0,S,,,,,,"ref iteration #5"
429.mcf,9120,180.2414,50.598808,1,S,,,,,,"ref iteration #6"
429.mcf,9120,181.389773,50.278469,0,S,,,,,,"ref iteration #7"
429.mcf,9120,180.200742,50.610224,0,S,,,,,,"ref iteration #8"
429.mcf,9120,180.460815,50.537287,0,S,,,,,,"ref iteration #9"
429.mcf,9120,179.488716,50.810994,0,S,,,,,,"ref iteration #10"
445.gobmk,10490,313.318543,33.480304,0,S,,,,,,"ref iteration #1"
445.gobmk,10490,316.385718,33.155732,0,S,,,,,,"ref iteration #2"
445.gobmk,10490,319.096049,32.874114,0,S,,,,,,"ref iteration #3"
445.gobmk,10490,317.63595,33.025229,0,S,,,,,,"ref iteration #4"
445.gobmk,10490,314.713555,33.331898,0,S,,,,,,"ref iteration #5"
