valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,300.900446,32.469211,1,S,,,,,,"ref iteration #1"
400.perlbench,9770,298.997145,32.675897,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,300.973717,32.461306,0,S,,,,,,"ref iteration #3"
400.perlbench,9770,300.49514,32.513005,0,S,,,,,,"ref iteration #4"
400.perlbench,9770,301.824229,32.369833,0,S,,,,,,"ref iteration #5"
400.perlbench,9770,294.809025,33.140098,0,S,,,,,,"ref iteration #6"
400.perlbench,9770,301.667248,32.386678,0,S,,,,,,"ref iteration #7"
400.perlbench,9770,285.754683,34.190166,0,S,,,,,,"ref iteration #8"
400.perlbench,9770,279.194554,34.993519,0,S,,,,,,"ref iteration #9"
400.perlbench,9770,301.242468,32.432346,0,S,,,,,,"ref iteration #10"
401.bzip2,9650,387.982933,24.872228,0,S,,,,,,"ref iteration #1"
401.bzip2,9650,388.832902,24.817859,0,S,,,,,,"ref iteration #2"
401.bzip2,9650,387.671151,24.892231,0,S,,,,,,"ref iteration #3"
401.bzip2,9650,387.502202,24.903084,0,S,,,,,,"ref iteration #4"
401.bzip2,9650,388.573324,24.834438,1,S,,,,,,"ref iteration #5"
401.bzip2,9650,389.460347,24.777876,0,S,,,,,,"ref iteration #6"
401.bzip2,9650,388.321998,24.850511,0,S,,,,,,"ref iteration #7"
401.bzip2,9650,388.723331,24.824854,0,S,,,,,,"ref iteration #8"
401.bzip2,9650,388.782303,24.821089,0,S,,,,,,"ref iteration #9"
401.bzip2,9650,387.954155,24.874073,0,S,,,,,,"ref iteration #10"
403.gcc,8050,184.585409,43.611248,0,S,,,,,,"ref iteration #1"
403.gcc,8050,183.873938,43.779995,1,S,,,,,,"ref iteration #2"
403.gcc,8050,183.203936,43.940104,0,S,,,,,,"ref iteration #3"
403.gcc,8050,182.814617,44.033678,0,S,,,,,,"ref iteration #4"
403.gcc,8050,182.379393,44.138759,0,S,,,,,,"ref iteration #5"
403.gcc,8050,184.832978,43.552834,0,S,,,,,,"ref iteration #6"
403.gcc,8050,183.68829,43.824242,0,S,,,,,,"ref iteration #7"
403.gcc,8050,184.690412,43.586453,0,S,,,,,,"ref iteration #8"
403.gcc,8050,183.55012,43.857231,0,S,,,,,,"ref iteration #9"
403.gcc,8050,183.894491,43.775101,0,S,,,,,,"ref iteration #10"
429.mcf,9120,177.974036,51.24343,0,S,,,,,,"ref iteration #1"
429.mcf,9120,179.046475,50.936496,0,S,,,,,,"ref iteration #2"
429.mcf,9120,180.77662,50.449002,0,S,,,,,,"ref iteration #3"
429.mcf,9120,174.221027,52.347298,0,S,,,,,,"ref iteration #4"
429.mcf,9120,179.395675,50.837346,0,S,,,,,,"ref iteration #5"
429.mcf,9120,180.141094,50.626982,0,S,,,,,,"ref iteration #6"
429.mcf,9120,182.737163,49.907746,0,S,,,,,,"ref iteration #7"
429.mcf,9120,180.166956,50.619715,1,S,,,,,,"ref iteration #8"
429.mcf,9120,180.50922,50.523735,0,S,,,,,,"ref iteration #9"
429.mcf,9120,180.395637,50.555546,0,S,,,,,,"ref iteration #10"
445.gobmk,10490,317.018258,33.089577,0,S,,,,,,"ref iteration #1"
445.gobmk,10490,315.820059,33.215116,1,S,,,,,,"ref iteration #2"
445.gobmk,10490,313.585049,33.45185,0,S,,,,,,"ref iteration #3"
445.gobmk,10490,313.132729,33.500171,0,S,,,,,,"ref iteration #4"
445.gobmk,10490,314.99546,33.302067,0,S,,,,,,"ref iteration #5"
445.gobmk,10490,317.071233,33.084048,0,S,,,,,,"ref iteration #6"
445.gobmk,10490,315.799283,33.217302,0,S,,,,,,"ref iteration #7"
445.gobmk,10490,316.756963,33.116873,0,S,,,,,,"ref iteration #8"
445.gobmk,10490,316.454676,33.148507,0,S,,,,,,"ref iteration #9"
445.gobmk,10490,315.50871,33.247894,0,S,,,,,,"ref iteration #10"
456.hmmer,9330,213.824136,43.633989,0,S,,,,,,"ref iteration #1"
456.hmmer,9330,213.584983,43.682846,0,S,,,,,,"ref iteration #2"
456.hmmer,9330,213.87901,43.622794,0,S,,,,,,"ref iteration #3"
456.hmmer,9330,213.887695,43.621023,0,S,,,,,,"ref iteration #4"
456.hmmer,9330,213.791602,43.640629,0,S,,,,,,"ref iteration #5"
456.hmmer,9330,213.777781,43.64345,0,S,,,,,,"ref iteration #6"
456.hmmer,9330,213.635147,43.672589,0,S,,,,,,"ref iteration #7"
456.hmmer,9330,213.822372,43.634349,1,S,,,,,,"ref iteration #8"
456.hmmer,9330,213.507272,43.698746,0,S,,,,,,"ref iteration #9"
456.hmmer,9330,213.940724,43.61021,0,S,,,,,,"ref iteration #10"
458.sjeng,12100,373.624479,32.385458,0,S,,,,,,"ref iteration #1"
458.sjeng,12100,373.486028,32.397464,0,S,,,,,,"ref iteration #2"
458.sjeng,12100,373.84451,32.366397,0,S,,,,,,"ref iteration #3"
458.sjeng,12100,374.936356,32.272144,0,S,,,,,,"ref iteration #4"
458.sjeng,12100,375.281686,32.242447,0,S,,,,,,"ref iteration #5"
458.sjeng,12100,374.366631,32.321257,1,S,,,,,,"ref iteration #6"
458.sjeng,12100,374.23868,32.332307,0,S,,,,,,"ref iteration #7"
458.sjeng,12100,374.446551,32.314358,0,S,,,,,,"ref iteration #8"
458.sjeng,12100,375.47986,32.22543,0,S,,,,,,"ref iteration #9"
458.sjeng,12100,373.547225,32.392156,0,S,,,,,,"ref iteration #10"
462.libquantum,20720,932.417051,22.221816,1,S,,,,,,"ref iteration #1"
462.libquantum,20720,930.86912,22.258768,0,S,,,,,,"ref iteration #2"
462.libquantum,20720,916.492195,22.607939,0,S,,,,,,"ref iteration #3"
462.libquantum,20720,922.00235,22.472828,0,S,,,,,,"ref iteration #4"
462.libquantum,20720,924.180717,22.419858,0,S,,,,,,"ref iteration #5"
462.libquantum,20720,920.571641,22.507754,0,S,,,,,,"ref iteration #6"
462.libquantum,20720,940.208972,22.037654,0,S,,,,,,"ref iteration #7"
462.libquantum,20720,949.134677,21.830411,0,S,,,,,,"ref iteration #8"
462.libquantum,20720,969.929527,21.362377,0,S,,,,,,"ref iteration #9"
