valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,1749.789045,5.58353,1,S,,,,,,"ref iteration #1"
400.perlbench,9770,1743.037653,5.605157,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,1743.340651,5.604183,0,S,,,,,,"ref iteration #3"
400.perlbench,9770,1745.65239,5.596761,0,S,,,,,,"ref iteration #4"
400.perlbench,9770,1750.13368,5.582431,0,S,,,,,,"ref iteration #5"
400.perlbench,9770,1753.667927,5.57118,0,S,,,,,,"ref iteration #6"
400.perlbench,9770,1750.371776,5.581671,0,S,,,,,,"ref iteration #7"
400.perlbench,9770,1750.867532,5.580091,0,S,,,,,,"ref iteration #8"
400.perlbench,9770,1744.748747,5.59966,0,S,,,,,,"ref iteration #9"
400.perlbench,9770,1748.859291,5.586499,0,S,,,,,,"ref iteration #10"
401.bzip2,9650,1706.110823,5.656139,0,S,,,,,,"ref iteration #1"
401.bzip2,9650,1713.858492,5.63057,0,S,,,,,,"ref iteration #2"
401.bzip2,9650,1707.345915,5.652047,0,S,,,,,,"ref iteration #3"
401.bzip2,9650,1708.85468,5.647057,0,S,,,,,,"ref iteration #4"
401.bzip2,9650,1709.638719,5.644467,0,S,,,,,,"ref iteration #5"
401.bzip2,9650,1710.030976,5.643173,0,S,,,,,,"ref iteration #6"
401.bzip2,9650,1708.977593,5.646651,0,S,,,,,,"ref iteration #7"
401.bzip2,9650,1706.04801,5.656347,0,S,,,,,,"ref iteration #8"
401.bzip2,9650,1709.126565,5.646159,1,S,,,,,,"ref iteration #9"
401.bzip2,9650,1709.446598,5.645102,0,S,,,,,,"ref iteration #10"
403.gcc,8050,1260.222428,6.387761,0,S,,,,,,"ref iteration #1"
403.gcc,8050,1266.555287,6.355822,0,S,,,,,,"ref iteration #2"
403.gcc,8050,1261.493904,6.381323,0,S,,,,,,"ref iteration #3"
403.gcc,8050,1264.653458,6.36538,0,S,,,,,,"ref iteration #4"
403.gcc,8050,1268.072007,6.34822,0,S,,,,,,"ref iteration #5"
403.gcc,8050,1264.036003,6.368489,0,S,,,,,,"ref iteration #6"
403.gcc,8050,1264.324851,6.367035,1,S,,,,,,"ref iteration #7"
403.gcc,8050,1265.000773,6.363632,0,S,,,,,,"ref iteration #8"
403.gcc,8050,1262.497475,6.37625,0,S,,,,,,"ref iteration #9"
403.gcc,8050,1263.340337,6.371996,0,S,,,,,,"ref iteration #10"
429.mcf,9120,3151.721573,2.893657,0,S,,,,,,"ref iteration #1"
429.mcf,9120,3081.404594,2.959689,0,S,,,,,,"ref iteration #2"
429.mcf,9120,3088.879073,2.952527,0,S,,,,,,"ref iteration #3"
429.mcf,9120,3088.666601,2.95273,0,S,,,,,,"ref iteration #4"
429.mcf,9120,3080.774066,2.960295,0,S,,,,,,"ref iteration #5"
429.mcf,9120,3111.752984,2.930824,0,S,,,,,,"ref iteration #6"
429.mcf,9120,3105.318261,2.936897,1,S,,,,,,"ref iteration #7"
429.mcf,9120,3118.400209,2.924577,0,S,,,,,,"ref iteration #8"
429.mcf,9120,3133.772882,2.91023,0,S,,,,,,"ref iteration #9"
429.mcf,9120,3095.299096,2.946403,0,S,,,,,,"ref iteration #10"
445.gobmk,10490,1527.893013,6.865664,1,S,,,,,,"ref iteration #1"
445.gobmk,10490,1556.819711,6.738096,0,S,,,,,,"ref iteration #2"
445.gobmk,10490,1525.613996,6.87592,0,S,,,,,,"ref iteration #3"
445.gobmk,10490,1526.115152,6.873662,0,S,,,,,,"ref iteration #4"
445.gobmk,10490,1533.05852,6.842531,0,S,,,,,,"ref iteration #5"
445.gobmk,10490,1525.716385,6.875459,0,S,,,,,,"ref iteration #6"
445.gobmk,10490,1525.140348,6.878056,0,S,,,,,,"ref iteration #7"
445.gobmk,10490,1535.783146,6.830391,0,S,,,,,,"ref iteration #8"
445.gobmk,10490,1529.098317,6.860252,0,S,,,,,,"ref iteration #9"
445.gobmk,10490,1525.952721,6.874394,0,S,,,,,,"ref iteration #10"
456.hmmer,9330,1326.081866,7.035765,0,S,,,,,,"ref iteration #1"
456.hmmer,9330,1335.148654,6.987986,0,S,,,,,,"ref iteration #2"
456.hmmer,9330,1328.969873,7.020475,0,S,,,,,,"ref iteration #3"
456.hmmer,9330,1327.662168,7.02739,0,S,,,,,,"ref iteration #4"
456.hmmer,9330,1334.359523,6.992119,0,S,,,,,,"ref iteration #5"
456.hmmer,9330,1329.465522,7.017858,0,S,,,,,,"ref iteration #6"
456.hmmer,9330,1334.565056,6.991042,0,S,,,,,,"ref iteration #7"
456.hmmer,9330,1330.503168,7.012385,0,S,,,,,,"ref iteration #8"
456.hmmer,9330,1334.382524,6.991998,0,S,,,,,,"ref iteration #9"
456.hmmer,9330,1332.170718,7.003607,1,S,,,,,,"ref iteration #10"
458.sjeng,12100,2627.378496,4.605351,0,S,,,,,,"ref iteration #1"
458.sjeng,12100,2615.333193,4.626562,0,S,,,,,,"ref iteration #2"
458.sjeng,12100,2646.848558,4.571474,0,S,,,,,,"ref iteration #3"
458.sjeng,12100,2630.713805,4.599512,0,S,,,,,,"ref iteration #4"
458.sjeng,12100,2638.300955,4.586285,0,S,,,,,,"ref iteration #5"
458.sjeng,12100,2658.080319,4.552157,0,S,,,,,,"ref iteration #6"
458.sjeng,12100,2640.255069,4.582891,0,S,,,,,,"ref iteration #7"
458.sjeng,12100,2633.721198,4.59426,0,S,,,,,,"ref iteration #8"
458.sjeng,12100,2639.694669,4.583863,1,S,,,,,,"ref iteration #9"
458.sjeng,12100,2646.811869,4.571538,0,S,,,,,,"ref iteration #10"
462.libquantum,20720,1333.456881,15.53856,0,S,,,,,,"ref iteration #1"
462.libquantum,20720,1269.111736,16.32638,0,S,,,,,,"ref iteration #2"
462.libquantum,20720,1244.104637,16.654548,0,S,,,,,,"ref iteration #3"
462.libquantum,20720,1229.228049,16.856107,0,S,,,,,,"ref iteration #4"
462.libquantum,20720,1238.891213,16.724632,0,S,,,,,,"ref iteration #5"
462.libquantum,20720,1239.704256,16.713664,1,S,,,,,,"ref iteration #6"
462.libquantum,20720,1212.183411,17.093123,0,S,,,,,,"ref iteration #7"
462.libquantum,20720,1228.442386,16.866888,0,S,,,,,,"ref iteration #8"
462.libquantum,20720,1301.706715,15.917564,0,S,,,,,,"ref iteration #9"
462.libquantum,20720,1208.207215,17.149376,0,S,,,,,,"ref iteration #10"
464.h264ref,22130,2019.294265,10.959274,0,S,,,,,,"ref iteration #1"
464.h264ref,22130,2017.10842,10.97115,0,S,,,,,,"ref iteration #2"
464.h264ref,22130,2021.179488,10.949052,0,S,,,,,,"ref iteration #3"
464.h264ref,22130,2016.256322,10.975787,0,S,,,,,,"ref iteration #4"
464.h264ref,22130,2020.5425,10.952504,0,S,,,,,,"ref iteration #5"
464.h264ref,22130,2009.854686,11.010746,0,S,,,,,,"ref iteration #6"
464.h264ref,22130,2011.172581,11.003531,0,S,,,,,,"ref iteration #7"
464.h264ref,22130,2011.097075,11.003944,0,S,,,,,,"ref iteration #8"
464.h264ref,22130,2017.604892,10.968451,1,S,,,,,,"ref iteration #9"
464.h264ref,22130,2018.043194,10.966069,0,S,,,,,,"ref iteration #10"
471.omnetpp,6250,1823.687043,3.427123,0,S,,,,,,"ref iteration #1"
471.omnetpp,6250,1831.126676,3.413199,0,S,,,,,,"ref iteration #2"
471.omnetpp,6250,1825.61915,3.423496,0,S,,,,,,"ref iteration #3"
471.omnetpp,6250,1830.059327,3.41519,0,S,,,,,,"ref iteration #4"
471.omnetpp,6250,1831.533422,3.412441,1,S,,,,,,"ref iteration #5"
471.omnetpp,6250,1828.059619,3.418926,0,S,,,,,,"ref iteration #6"
471.omnetpp,6250,1841.365554,3.39422,0,S,,,,,,"ref iteration #7"
471.omnetpp,6250,1852.317053,3.374152,0,S,,,,,,"ref iteration #8"
471.omnetpp,6250,1838.938931,3.398699,0,S,,,,,,"ref iteration #9"
471.omnetpp,6250,1849.306961,3.379644,0,S,,,,,,"ref iteration #10"
473.astar,7020,1410.597486,4.976615,0,S,,,,,,"ref iteration #1"
473.astar,7020,1392.43599,5.041524,0,S,,,,,,"ref iteration #2"
473.astar,7020,1390.959919,5.046874,0,S,,,,,,"ref iteration #3"
473.astar,7020,1415.623948,4.958944,0,S,,,,,,"ref iteration #4"
473.astar,7020,1415.603098,4.959017,0,S,,,,,,"ref iteration #5"
473.astar,7020,1404.459006,4.998366,0,S,,,,,,"ref iteration #6"
473.astar,7020,1414.327456,4.96349,1,S,,,,,,"ref iteration #7"
473.astar,7020,1426.240503,4.922031,0,S,,,,,,"ref iteration #8"
473.astar,7020,1405.554357,4.994471,0,S,,,,,,"ref iteration #9"
473.astar,7020,1414.679629,4.962254,0,S,,,,,,"ref iteration #10"
483.xalancbmk,6900,1116.744061,6.178676,0,S,,,,,,"ref iteration #1"
483.xalancbmk,6900,1117.593609,6.173979,0,S,,,,,,"ref iteration #2"
483.xalancbmk,6900,1126.494442,6.125197,0,S,,,,,,"ref iteration #3"
483.xalancbmk,6900,1123.213823,6.143087,0,S,,,,,,"ref iteration #4"
483.xalancbmk,6900,1126.404916,6.125683,0,S,,,,,,"ref iteration #5"
483.xalancbmk,6900,1117.453884,6.174751,0,S,,,,,,"ref iteration #6"
483.xalancbmk,6900,1131.565674,6.097746,0,S,,,,,,"ref iteration #7"
483.xalancbmk,6900,1126.331644,6.126082,0,S,,,,,,"ref iteration #8"
483.xalancbmk,6900,1123.098886,6.143715,0,S,,,,,,"ref iteration #9"
483.xalancbmk,6900,1125.932419,6.128254,1,S,,,,,,"ref iteration #10"

"Selected Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,1749.789045,5.58353,1,S,,,,,NR,"SelectedIteration (base #1)"
401.bzip2,9650,1709.126565,5.646159,1,S,,,,,NR,"SelectedIteration (base #9)"
403.gcc,8050,1264.324851,6.367035,1,S,,,,,NR,"SelectedIteration (base #7)"
429.mcf,9120,3105.318261,2.936897,1,S,,,,,NR,"SelectedIteration (base #7)"
445.gobmk,10490,1527.893013,6.865664,1,S,,,,,NR,"SelectedIteration (base #1)"
456.hmmer,9330,1332.170718,7.003607,1,S,,,,,NR,"SelectedIteration (base #10)"
458.sjeng,12100,2639.694669,4.583863,1,S,,,,,NR,"SelectedIteration (base #9)"
462.libquantum,20720,1239.704256,16.713664,1,S,,,,,NR,"SelectedIteration (base #6)"
464.h264ref,22130,2017.604892,10.968451,1,S,,,,,NR,"SelectedIteration (base #9)"
471.omnetpp,6250,1831.533422,3.412441,1,S,,,,,NR,"SelectedIteration (base #5)"
473.astar,7020,1414.327456,4.96349,1,S,,,,,NR,"SelectedIteration (base #7)"
483.xalancbmk,6900,1125.932419,6.128254,1,S,,,,,NR,"SelectedIteration (base #10)"

SPECint_base2006,6.064023,,6.064023
SPECint2006,"Not Run",,,,,,,"Not Run"

"Run number:",282

"Hardware Vendor:",
"Hardware Model:",
"Date tested:",Jul-2025
"CPU2006 License:",0
"Test sponsor:",
"Tested by:",
"Hardware avail:",Dec-9999
"Software avail:",Mar-2008


HARDWARE

"CPU Name"," "
"CPU Characteristics"," "
"CPU MHz"," "
FPU," "
"CPU(s) enabled"," cores,  chips,  cores/chip,  threads/core"
"CPU(s) orderable"," "
"Primary Cache"," "
"Secondary Cache"," "
"L3 Cache"," "
"Other Cache"," "
Memory," "
"Disk Subsystem"," "
"Other Hardware"," "

SOFTWARE

"Operating System","QEMU AArch64 Usermode"
Compiler,clang
"Auto Parallel",No
"File System"," "
"System State"," "
"Base Pointers",64-bit
"Peak Pointers","Not Applicable"
"Other Software",None

"Submit Notes"

"The config file option 'submit' was used."

"Base Compiler Invocation"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
464.h264ref
471.omnetpp
473.astar
483.xalancbmk

"Base Portability Flags"
400.perlbench," -DSPEC_CPU_LP64"," -DSPEC_CPU_LINUX_X64"
401.bzip2," -DSPEC_CPU_LP64"
403.gcc," -DSPEC_CPU_LP64"
429.mcf," -DSPEC_CPU_LP64"
445.gobmk," -DSPEC_CPU_LP64"
456.hmmer," -DSPEC_CPU_LP64"
458.sjeng," -DSPEC_CPU_LP64"
462.libquantum," -DSPEC_CPU_LP64"," -DSPEC_CPU_LINUX"
464.h264ref," -DSPEC_CPU_LP64"
471.omnetpp," -DSPEC_CPU_LP64"
473.astar," -DSPEC_CPU_LP64"
483.xalancbmk," -DSPEC_CPU_LP64"," -DSPEC_CPU_LINUX"

"Base Optimization Flags"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
464.h264ref
471.omnetpp
473.astar
483.xalancbmk

"Base Other Flags"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
464.h264ref
471.omnetpp
473.astar
483.xalancbmk

"Base Forbidden Flags"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
464.h264ref
471.omnetpp
473.astar
483.xalancbmk

"Base Unknown Flags"
400.perlbench," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
401.bzip2," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
403.gcc," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
429.mcf," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
445.gobmk," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
456.hmmer," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
458.sjeng," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
462.libquantum," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
464.h264ref," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -fsigned-char"," -Wno-int-conversion"," -fsigned-char"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
471.omnetpp," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang++"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang++"," -Wno-int-conversion"," -Wno-int-conversion"," -unwindlib=libunwind"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=c++98"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
473.astar," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang++"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang++"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=c++98"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
483.xalancbmk," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang++"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang++"," -Wno-int-conversion"," -Wno-int-conversion"," -unwindlib=libunwind"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=c++98"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"

"Peak Compiler Invocation"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
464.h264ref
471.omnetpp
473.astar
483.xalancbmk

"Peak Portability Flags"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
464.h264ref
471.omnetpp
473.astar
483.xalancbmk

"Peak Optimization Flags"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
464.h264ref
471.omnetpp
473.astar
483.xalancbmk

"Peak Other Flags"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
464.h264ref
471.omnetpp
473.astar
483.xalancbmk

"Peak Forbidden Flags"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
