valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,1499.313702,6.516315,0,S,,,,,,"ref iteration #1"
400.perlbench,9770,1507.468172,6.481066,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,1502.405312,6.502906,0,S,,,,,,"ref iteration #3"
400.perlbench,9770,1499.512909,6.515449,0,S,,,,,,"ref iteration #4"
400.perlbench,9770,1502.685712,6.501692,0,S,,,,,,"ref iteration #5"
400.perlbench,9770,1502.490657,6.502536,0,S,,,,,,"ref iteration #6"
400.perlbench,9770,1501.401575,6.507253,0,S,,,,,,"ref iteration #7"
400.perlbench,9770,1501.193799,6.508154,0,S,,,,,,"ref iteration #8"
400.perlbench,9770,1499.80356,6.514186,0,S,,,,,,"ref iteration #9"
400.perlbench,9770,1501.687202,6.506015,1,S,,,,,,"ref iteration #10"
401.bzip2,9650,1696.911615,5.686802,1,S,,,,,,"ref iteration #1"
401.bzip2,9650,1698.525885,5.681397,0,S,,,,,,"ref iteration #2"
401.bzip2,9650,1696.400302,5.688516,0,S,,,,,,"ref iteration #3"
401.bzip2,9650,1695.604939,5.691184,0,S,,,,,,"ref iteration #4"
401.bzip2,9650,1696.230868,5.689084,0,S,,,,,,"ref iteration #5"
401.bzip2,9650,1697.328277,5.685406,0,S,,,,,,"ref iteration #6"
401.bzip2,9650,1697.00925,5.686475,0,S,,,,,,"ref iteration #7"
401.bzip2,9650,1695.253542,5.692364,0,S,,,,,,"ref iteration #8"
401.bzip2,9650,1701.154181,5.672619,0,S,,,,,,"ref iteration #9"
401.bzip2,9650,1696.05037,5.68969,0,S,,,,,,"ref iteration #10"
403.gcc,8050,1050.099052,7.665943,0,S,,,,,,"ref iteration #1"
403.gcc,8050,1053.153933,7.643707,0,S,,,,,,"ref iteration #2"
403.gcc,8050,1055.129911,7.629392,0,S,,,,,,"ref iteration #3"
403.gcc,8050,1054.353762,7.635009,0,S,,,,,,"ref iteration #4"
403.gcc,8050,1056.480038,7.619642,0,S,,,,,,"ref iteration #5"
403.gcc,8050,1054.631094,7.633001,0,S,,,,,,"ref iteration #6"
403.gcc,8050,1055.763323,7.624815,1,S,,,,,,"ref iteration #7"
403.gcc,8050,1056.367817,7.620452,0,S,,,,,,"ref iteration #8"
403.gcc,8050,1058.042027,7.608393,0,S,,,,,,"ref iteration #9"
403.gcc,8050,1056.105826,7.622342,0,S,,,,,,"ref iteration #10"
429.mcf,9120,2875.172308,3.171984,0,S,,,,,,"ref iteration #1"
429.mcf,9120,2871.360736,3.176194,0,S,,,,,,"ref iteration #2"
429.mcf,9120,2863.054018,3.18541,0,S,,,,,,"ref iteration #3"
429.mcf,9120,2870.6564,3.176974,0,S,,,,,,"ref iteration #4"
429.mcf,9120,2877.652546,3.16925,0,S,,,,,,"ref iteration #5"
429.mcf,9120,2880.742854,3.16585,0,S,,,,,,"ref iteration #6"
429.mcf,9120,2860.545768,3.188203,0,S,,,,,,"ref iteration #7"
429.mcf,9120,2872.321539,3.175132,1,S,,,,,,"ref iteration #8"
429.mcf,9120,2851.15318,3.198706,0,S,,,,,,"ref iteration #9"
429.mcf,9120,2875.826575,3.171262,0,S,,,,,,"ref iteration #10"
445.gobmk,10490,1510.374883,6.945296,0,S,,,,,,"ref iteration #1"
445.gobmk,10490,1512.041562,6.93764,0,S,,,,,,"ref iteration #2"
445.gobmk,10490,1504.828137,6.970896,0,S,,,,,,"ref iteration #3"
445.gobmk,10490,1513.300203,6.93187,0,S,,,,,,"ref iteration #4"
445.gobmk,10490,1510.296981,6.945654,1,S,,,,,,"ref iteration #5"
445.gobmk,10490,1510.424383,6.945068,0,S,,,,,,"ref iteration #6"
445.gobmk,10490,1504.798459,6.971033,0,S,,,,,,"ref iteration #7"
445.gobmk,10490,1503.476836,6.977161,0,S,,,,,,"ref iteration #8"
445.gobmk,10490,1504.462642,6.972589,0,S,,,,,,"ref iteration #9"
445.gobmk,10490,1507.350963,6.959229,0,S,,,,,,"ref iteration #10"
456.hmmer,9330,1301.712542,7.167481,0,S,,,,,,"ref iteration #1"
456.hmmer,9330,1305.388206,7.147299,0,S,,,,,,"ref iteration #2"
456.hmmer,9330,1306.469348,7.141385,0,S,,,,,,"ref iteration #3"
456.hmmer,9330,1303.576243,7.157234,0,S,,,,,,"ref iteration #4"
456.hmmer,9330,1305.040289,7.149205,1,S,,,,,,"ref iteration #5"
456.hmmer,9330,1305.272506,7.147933,0,S,,,,,,"ref iteration #6"
456.hmmer,9330,1303.10831,7.159804,0,S,,,,,,"ref iteration #7"
456.hmmer,9330,1305.175058,7.148466,0,S,,,,,,"ref iteration #8"
456.hmmer,9330,1303.081342,7.159952,0,S,,,,,,"ref iteration #9"
456.hmmer,9330,1302.696381,7.162068,0,S,,,,,,"ref iteration #10"
458.sjeng,12100,2152.816545,5.620544,1,S,,,,,,"ref iteration #1"
458.sjeng,12100,2152.18509,5.622193,0,S,,,,,,"ref iteration #2"
458.sjeng,12100,2155.259865,5.614172,0,S,,,,,,"ref iteration #3"
458.sjeng,12100,2153.350892,5.619149,0,S,,,,,,"ref iteration #4"
458.sjeng,12100,2146.520805,5.637029,0,S,,,,,,"ref iteration #5"
458.sjeng,12100,2148.688526,5.631342,0,S,,,,,,"ref iteration #6"
458.sjeng,12100,2148.983897,5.630568,0,S,,,,,,"ref iteration #7"
458.sjeng,12100,2153.69925,5.61824,0,S,,,,,,"ref iteration #8"
458.sjeng,12100,2146.469714,5.637163,0,S,,,,,,"ref iteration #9"
458.sjeng,12100,2153.509288,5.618736,0,S,,,,,,"ref iteration #10"
462.libquantum,20720,1258.510377,16.463909,0,S,,,,,,"ref iteration #1"
462.libquantum,20720,1331.180901,15.565127,0,S,,,,,,"ref iteration #2"
462.libquantum,20720,1201.316472,17.247745,0,S,,,,,,"ref iteration #3"
462.libquantum,20720,1209.928279,17.124982,0,S,,,,,,"ref iteration #4"
462.libquantum,20720,1265.53266,16.372553,0,S,,,,,,"ref iteration #5"
462.libquantum,20720,1201.828943,17.24039,0,S,,,,,,"ref iteration #6"
462.libquantum,20720,1207.453727,17.160078,0,S,,,,,,"ref iteration #7"
462.libquantum,20720,1222.642636,16.946898,1,S,,,,,,"ref iteration #8"
462.libquantum,20720,1221.00269,16.96966,0,S,,,,,,"ref iteration #9"
462.libquantum,20720,1240.370737,16.704683,0,S,,,,,,"ref iteration #10"
464.h264ref,22130,1970.511333,11.230588,1,S,,,,,,"ref iteration #1"
464.h264ref,22130,1949.136,11.353749,0,S,,,,,,"ref iteration #2"
464.h264ref,22130,1964.199392,11.266677,0,S,,,,,,"ref iteration #3"
464.h264ref,22130,1974.098127,11.210182,0,S,,,,,,"ref iteration #4"
464.h264ref,22130,1968.635366,11.241289,0,S,,,,,,"ref iteration #5"
464.h264ref,22130,1974.136953,11.209962,0,S,,,,,,"ref iteration #6"
464.h264ref,22130,1969.536275,11.236147,0,S,,,,,,"ref iteration #7"
464.h264ref,22130,1967.136684,11.249854,0,S,,,,,,"ref iteration #8"
464.h264ref,22130,1970.793693,11.228978,0,S,,,,,,"ref iteration #9"
464.h264ref,22130,1972.159573,11.221202,0,S,,,,,,"ref iteration #10"
471.omnetpp,6250,1629.428539,3.835701,0,S,,,,,,"ref iteration #1"
471.omnetpp,6250,1632.75942,3.827876,0,S,,,,,,"ref iteration #2"
471.omnetpp,6250,1625.426886,3.845144,0,S,,,,,,"ref iteration #3"
471.omnetpp,6250,1629.150297,3.836356,0,S,,,,,,"ref iteration #4"
471.omnetpp,6250,1629.655271,3.835167,0,S,,,,,,"ref iteration #5"
471.omnetpp,6250,1654.103839,3.778481,0,S,,,,,,"ref iteration #6"
471.omnetpp,6250,1647.232244,3.794243,0,S,,,,,,"ref iteration #7"
471.omnetpp,6250,1645.340701,3.798605,0,S,,,,,,"ref iteration #8"
471.omnetpp,6250,1643.273516,3.803384,1,S,,,,,,"ref iteration #9"
471.omnetpp,6250,1644.289437,3.801034,0,S,,,,,,"ref iteration #10"
473.astar,7020,1277.492955,5.495138,0,S,,,,,,"ref iteration #1"
473.astar,7020,1286.569059,5.456372,0,S,,,,,,"ref iteration #2"
473.astar,7020,1290.217109,5.440945,0,S,,,,,,"ref iteration #3"
473.astar,7020,1283.889289,5.467761,0,S,,,,,,"ref iteration #4"
473.astar,7020,1287.79324,5.451186,0,S,,,,,,"ref iteration #5"
473.astar,7020,1300.248446,5.398968,0,S,,,,,,"ref iteration #6"
473.astar,7020,1292.15447,5.432787,1,S,,,,,,"ref iteration #7"
473.astar,7020,1301.291162,5.394642,0,S,,,,,,"ref iteration #8"
473.astar,7020,1297.418099,5.410746,0,S,,,,,,"ref iteration #9"
473.astar,7020,1297.53281,5.410268,0,S,,,,,,"ref iteration #10"
483.xalancbmk,6900,981.896266,7.027219,0,S,,,,,,"ref iteration #1"
483.xalancbmk,6900,980.863544,7.034618,1,S,,,,,,"ref iteration #2"
483.xalancbmk,6900,976.604765,7.065294,0,S,,,,,,"ref iteration #3"
483.xalancbmk,6900,979.813494,7.042157,0,S,,,,,,"ref iteration #4"
483.xalancbmk,6900,979.704313,7.042941,0,S,,,,,,"ref iteration #5"
483.xalancbmk,6900,986.660483,6.993287,0,S,,,,,,"ref iteration #6"
483.xalancbmk,6900,979.40029,7.045128,0,S,,,,,,"ref iteration #7"
483.xalancbmk,6900,975.914185,7.070294,0,S,,,,,,"ref iteration #8"
483.xalancbmk,6900,984.312555,7.009968,0,S,,,,,,"ref iteration #9"
483.xalancbmk,6900,981.126645,7.032731,0,S,,,,,,"ref iteration #10"

"Selected Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,1501.687202,6.506015,1,S,,,,,NR,"SelectedIteration (base #10)"
401.bzip2,9650,1696.911615,5.686802,1,S,,,,,NR,"SelectedIteration (base #1)"
403.gcc,8050,1055.763323,7.624815,1,S,,,,,NR,"SelectedIteration (base #7)"
429.mcf,9120,2872.321539,3.175132,1,S,,,,,NR,"SelectedIteration (base #8)"
445.gobmk,10490,1510.296981,6.945654,1,S,,,,,NR,"SelectedIteration (base #5)"
456.hmmer,9330,1305.040289,7.149205,1,S,,,,,NR,"SelectedIteration (base #5)"
458.sjeng,12100,2152.816545,5.620544,1,S,,,,,NR,"SelectedIteration (base #1)"
462.libquantum,20720,1222.642636,16.946898,1,S,,,,,NR,"SelectedIteration (base #8)"
464.h264ref,22130,1970.511333,11.230588,1,S,,,,,NR,"SelectedIteration (base #1)"
471.omnetpp,6250,1643.273516,3.803384,1,S,,,,,NR,"SelectedIteration (base #9)"
473.astar,7020,1292.15447,5.432787,1,S,,,,,NR,"SelectedIteration (base #7)"
483.xalancbmk,6900,980.863544,7.034618,1,S,,,,,NR,"SelectedIteration (base #2)"

SPECint_base2006,6.606744,,6.606744
SPECint2006,"Not Run",,,,,,,"Not Run"

"Run number:",281

"Hardware Vendor:",
"Hardware Model:",
"Date tested:",Jul-2025
"CPU2006 License:",0
"Test sponsor:",
"Tested by:",
"Hardware avail:",Dec-9999
"Software avail:",Mar-2008


HARDWARE

"CPU Name"," "
"CPU Characteristics"," "
"CPU MHz"," "
FPU," "
"CPU(s) enabled"," cores,  chips,  cores/chip,  threads/core"
"CPU(s) orderable"," "
"Primary Cache"," "
"Secondary Cache"," "
"L3 Cache"," "
"Other Cache"," "
Memory," "
"Disk Subsystem"," "
"Other Hardware"," "

SOFTWARE

"Operating System","QEMU AArch64 Usermode"
Compiler,clang
"Auto Parallel",No
"File System"," "
"System State"," "
"Base Pointers",64-bit
"Peak Pointers","Not Applicable"
"Other Software",None

"Submit Notes"

"The config file option 'submit' was used."

"Base Compiler Invocation"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
464.h264ref
471.omnetpp
473.astar
483.xalancbmk

"Base Portability Flags"
400.perlbench," -DSPEC_CPU_LP64"," -DSPEC_CPU_LINUX_X64"
401.bzip2," -DSPEC_CPU_LP64"
403.gcc," -DSPEC_CPU_LP64"
429.mcf," -DSPEC_CPU_LP64"
445.gobmk," -DSPEC_CPU_LP64"
456.hmmer," -DSPEC_CPU_LP64"
458.sjeng," -DSPEC_CPU_LP64"
462.libquantum," -DSPEC_CPU_LP64"," -DSPEC_CPU_LINUX"
464.h264ref," -DSPEC_CPU_LP64"
471.omnetpp," -DSPEC_CPU_LP64"
473.astar," -DSPEC_CPU_LP64"
483.xalancbmk," -DSPEC_CPU_LP64"," -DSPEC_CPU_LINUX"

"Base Optimization Flags"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
464.h264ref
471.omnetpp
473.astar
483.xalancbmk

"Base Other Flags"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
464.h264ref
471.omnetpp
473.astar
483.xalancbmk

"Base Forbidden Flags"
400.perlbench
401.bzip2
403.gcc
429.mcf
445.gobmk
456.hmmer
458.sjeng
462.libquantum
464.h264ref
471.omnetpp
473.astar
483.xalancbmk

"Base Unknown Flags"
400.perlbench," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
401.bzip2," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
403.gcc," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
429.mcf," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
445.gobmk," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
456.hmmer," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
458.sjeng," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
462.libquantum," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -Wno-int-conversion"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
464.h264ref," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," /home/XXXXXXXX/code/llvm-mte/tagcfi/build/bin/clang"," -Wno-int-conversion"," -fsigned-char"," -Wno-int-conversion"," -fsigned-char"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -std=gnu89"," -O2 -fno-strict-aliasing --target=aarch64-linux-gnu -march=armv8-a+memtag --gcc-toolchain=/home/XXXXXXXX/code/llvm-mte/tagcfi/downloads/gcc/gcc-linaro-12.3.1-2023.06-x86_64_aarch64-linux-gnu/"," -unwindlib=libunwind"
