valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,518.931535,18.827146,0,S,,,,,,"ref iteration #1"
400.perlbench,9770,515.317069,18.959201,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,510.675894,19.131508,0,S,,,,,,"ref iteration #3"
400.perlbench,9770,518.35065,18.848245,0,S,,,,,,"ref iteration #4"
400.perlbench,9770,516.97707,18.898324,0,S,,,,,,"ref iteration #5"
400.perlbench,9770,511.693702,19.093454,0,S,,,,,,"ref iteration #6"
400.perlbench,9770,516.387576,18.919897,1,S,,,,,,"ref iteration #7"
400.perlbench,9770,517.450814,18.881022,0,S,,,,,,"ref iteration #8"
400.perlbench,9770,516.265744,18.924362,0,S,,,,,,"ref iteration #9"
400.perlbench,9770,515.019865,18.970142,0,S,,,,,,"ref iteration #10"
401.bzip2,9650,554.701877,17.396732,0,S,,,,,,"ref iteration #1"
401.bzip2,9650,554.353371,17.407669,0,S,,,,,,"ref iteration #2"
401.bzip2,9650,554.545599,17.401635,0,S,,,,,,"ref iteration #3"
401.bzip2,9650,555.355328,17.376263,0,S,,,,,,"ref iteration #4"
401.bzip2,9650,556.020743,17.355468,0,S,,,,,,"ref iteration #5"
401.bzip2,9650,559.460427,17.248762,0,S,,,,,,"ref iteration #6"
401.bzip2,9650,559.831888,17.237317,0,S,,,,,,"ref iteration #7"
401.bzip2,9650,557.388006,17.312895,1,S,,,,,,"ref iteration #8"
401.bzip2,9650,561.047169,17.19998,0,S,,,,,,"ref iteration #9"
401.bzip2,9650,557.711938,17.302839,0,S,,,,,,"ref iteration #10"
403.gcc,8050,465.625542,17.28857,0,S,,,,,,"ref iteration #1"
403.gcc,8050,463.766549,17.357871,0,S,,,,,,"ref iteration #2"
403.gcc,8050,467.198116,17.230378,0,S,,,,,,"ref iteration #3"
403.gcc,8050,467.081404,17.234683,0,S,,,,,,"ref iteration #4"
403.gcc,8050,466.969425,17.238816,0,S,,,,,,"ref iteration #5"
403.gcc,8050,470.137827,17.122638,0,S,,,,,,"ref iteration #6"
403.gcc,8050,470.620291,17.105085,0,S,,,,,,"ref iteration #7"
403.gcc,8050,468.201554,17.19345,1,S,,,,,,"ref iteration #8"
403.gcc,8050,469.364111,17.150864,0,S,,,,,,"ref iteration #9"
403.gcc,8050,471.244151,17.08244,0,S,,,,,,"ref iteration #10"
429.mcf,9120,427.333414,21.34165,0,S,,,,,,"ref iteration #1"
429.mcf,9120,398.694626,22.87465,0,S,,,,,,"ref iteration #2"
429.mcf,9120,434.539774,20.987722,0,S,,,,,,"ref iteration #3"
429.mcf,9120,402.42263,22.662741,0,S,,,,,,"ref iteration #4"
429.mcf,9120,423.538709,21.532861,0,S,,,,,,"ref iteration #5"
429.mcf,9120,401.665104,22.705483,0,S,,,,,,"ref iteration #6"
429.mcf,9120,436.568884,20.890174,0,S,,,,,,"ref iteration #7"
429.mcf,9120,394.25855,23.132028,0,S,,,,,,"ref iteration #8"
429.mcf,9120,423.404603,21.539681,1,S,,,,,,"ref iteration #9"
429.mcf,9120,409.512257,22.270396,0,S,,,,,,"ref iteration #10"
445.gobmk,10490,488.545628,21.471894,0,S,,,,,,"ref iteration #1"
445.gobmk,10490,485.631835,21.600726,0,S,,,,,,"ref iteration #2"
445.gobmk,10490,488.684578,21.465789,0,S,,,,,,"ref iteration #3"
445.gobmk,10490,493.556883,21.253883,0,S,,,,,,"ref iteration #4"
445.gobmk,10490,487.825852,21.503575,0,S,,,,,,"ref iteration #5"
445.gobmk,10490,489.877709,21.413508,1,S,,,,,,"ref iteration #6"
445.gobmk,10490,489.617058,21.424907,0,S,,,,,,"ref iteration #7"
445.gobmk,10490,490.103209,21.403655,0,S,,,,,,"ref iteration #8"
445.gobmk,10490,491.501995,21.342741,0,S,,,,,,"ref iteration #9"
445.gobmk,10490,491.662669,21.335767,0,S,,,,,,"ref iteration #10"
456.hmmer,9330,271.534128,34.360322,0,S,,,,,,"ref iteration #1"
456.hmmer,9330,271.266136,34.394267,0,S,,,,,,"ref iteration #2"
456.hmmer,9330,271.358122,34.382608,0,S,,,,,,"ref iteration #3"
456.hmmer,9330,271.349576,34.383691,0,S,,,,,,"ref iteration #4"
456.hmmer,9330,271.615519,34.350025,1,S,,,,,,"ref iteration #5"
456.hmmer,9330,271.628419,34.348394,0,S,,,,,,"ref iteration #6"
