valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,1751.896849,5.576812,0,S,,,,,,"ref iteration #1"
400.perlbench,9770,1749.063582,5.585846,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,1747.135432,5.592011,0,S,,,,,,"ref iteration #3"
400.perlbench,9770,1752.181953,5.575905,0,S,,,,,,"ref iteration #4"
400.perlbench,9770,1751.276024,5.578789,0,S,,,,,,"ref iteration #5"
400.perlbench,9770,1750.668765,5.580724,1,S,,,,,,"ref iteration #6"
400.perlbench,9770,1754.861931,5.56739,0,S,,,,,,"ref iteration #7"
400.perlbench,9770,1750.635527,5.58083,0,S,,,,,,"ref iteration #8"
400.perlbench,9770,1748.696157,5.58702,0,S,,,,,,"ref iteration #9"
400.perlbench,9770,1749.740926,5.583684,0,S,,,,,,"ref iteration #10"
401.bzip2,9650,1708.031679,5.649778,0,S,,,,,,"ref iteration #1"
401.bzip2,9650,1710.043726,5.643131,0,S,,,,,,"ref iteration #2"
401.bzip2,9650,1709.547638,5.644768,0,S,,,,,,"ref iteration #3"
401.bzip2,9650,1710.29355,5.642306,0,S,,,,,,"ref iteration #4"
401.bzip2,9650,1713.174801,5.632817,0,S,,,,,,"ref iteration #5"
401.bzip2,9650,1710.231996,5.642509,1,S,,,,,,"ref iteration #6"
401.bzip2,9650,1709.934535,5.643491,0,S,,,,,,"ref iteration #7"
401.bzip2,9650,1710.423724,5.641877,0,S,,,,,,"ref iteration #8"
401.bzip2,9650,1709.473321,5.645014,0,S,,,,,,"ref iteration #9"
401.bzip2,9650,1711.088084,5.639686,0,S,,,,,,"ref iteration #10"
403.gcc,8050,1269.109293,6.343031,0,S,,,,,,"ref iteration #1"
403.gcc,8050,1266.659925,6.355297,0,S,,,,,,"ref iteration #2"
403.gcc,8050,1271.297296,6.332114,0,S,,,,,,"ref iteration #3"
403.gcc,8050,1267.060359,6.353288,0,S,,,,,,"ref iteration #4"
403.gcc,8050,1263.532614,6.371027,0,S,,,,,,"ref iteration #5"
403.gcc,8050,1262.929126,6.374071,0,S,,,,,,"ref iteration #6"
403.gcc,8050,1262.948067,6.373975,0,S,,,,,,"ref iteration #7"
403.gcc,8050,1266.329424,6.356956,1,S,,,,,,"ref iteration #8"
403.gcc,8050,1265.933285,6.358945,0,S,,,,,,"ref iteration #9"
403.gcc,8050,1265.123137,6.363017,0,S,,,,,,"ref iteration #10"
429.mcf,9120,3107.920569,2.934438,0,S,,,,,,"ref iteration #1"
429.mcf,9120,3117.0519,2.925842,0,S,,,,,,"ref iteration #2"
429.mcf,9120,3132.599705,2.91132,0,S,,,,,,"ref iteration #3"
429.mcf,9120,3115.602639,2.927203,0,S,,,,,,"ref iteration #4"
429.mcf,9120,3112.292047,2.930316,0,S,,,,,,"ref iteration #5"
429.mcf,9120,3066.929202,2.973658,0,S,,,,,,"ref iteration #6"
429.mcf,9120,3091.210512,2.950301,0,S,,,,,,"ref iteration #7"
429.mcf,9120,3114.255104,2.928469,1,S,,,,,,"ref iteration #8"
429.mcf,9120,3136.203366,2.907975,0,S,,,,,,"ref iteration #9"
429.mcf,9120,3107.569516,2.934769,0,S,,,,,,"ref iteration #10"
445.gobmk,10490,1542.773717,6.799442,0,S,,,,,,"ref iteration #1"
