program,env,cycles,instructions,instructions/cycles
Xalan_base.default-static,asymm,1669299871806,958751093876,0.57
astar_base.default-static,asymm,2101479015755,1113510928300,0.53
bzip2_base.default-static,asymm,2414644715106,2256831971936,0.93
gcc_base.default-static,asymm,1830144728499,1034197894628,0.57
gobmk_base.default-static,asymm,2203089266541,1711211632685,0.78
h264ref_base.default-static,asymm,2863593543487,2978192050444,1.04
hmmer_base.default-static,asymm,1887829861621,2802115875574,1.48
libquantum_base.default-static,asymm,1808128109480,1952385992883,1.08
mcf_base.default-static,asymm,4924139192431,314521765325,0.06
omnetpp_base.default-static,asymm,2683634876625,588683844128,0.22
perlbench_base.default-static,asymm,2477638680553,2558858427277,1.03
sjeng_base.default-static,asymm,4117936065706,2397418522883,0.58
specrand_base.default-static,asymm,521229117,623397180,1.20
Xalan_base.default-static,async,1669970398058,958918328624,0.57
astar_base.default-static,async,2049987124840,1113420621237,0.54
bzip2_base.default-static,async,2402658727307,2256626661923,0.94
gcc_base.default-static,async,1816378173751,1031727703808,0.57
gobmk_base.default-static,async,2218994514424,1711235414119,0.77
h264ref_base.default-static,async,2860130713713,2978157190122,1.04
hmmer_base.default-static,async,1878253536556,2802176087169,1.49
libquantum_base.default-static,async,1742279624852,1952252318018,1.12
mcf_base.default-static,async,4955703530591,314549499761,0.06
omnetpp_base.default-static,async,2684275415892,588678977100,0.22
perlbench_base.default-static,async,2477603233926,2558662061315,1.03
sjeng_base.default-static,async,4118848925866,2397428361946,0.58
specrand_base.default-static,async,528491393,623385745,1.18
Xalan_base.default-static,disabled,1438104416957,948429302732,0.66
astar_base.default-static,disabled,1868835023394,1112039003913,0.60
bzip2_base.default-static,disabled,2394415590661,2256250324445,0.94
gcc_base.default-static,disabled,1512069072643,967419830501,0.64
gobmk_base.default-static,disabled,2166701676040,1710743621371,0.79
h264ref_base.default-static,disabled,2776087258840,2977626688914,1.07
hmmer_base.default-static,disabled,1849045740687,2801422591459,1.52
libquantum_base.default-static,disabled,1816212433248,1952157791279,1.07
mcf_base.default-static,disabled,4535273199333,313229393535,0.07
omnetpp_base.default-static,disabled,2357608516482,565204372439,0.24
perlbench_base.default-static,disabled,2117765071590,2484613861868,1.17
sjeng_base.default-static,disabled,3245680928647,2395156178127,0.74
specrand_base.default-static,disabled,544834197,623284827,1.14
Xalan_base.default-static,sync,1689134600222,959124915841,0.57
astar_base.default-static,sync,2592110309649,1114144690966,0.43
bzip2_base.default-static,sync,2640955291612,2257075392892,0.85
gcc_base.default-static,sync,1905079240401,1032705984023,0.54
gobmk_base.default-static,sync,2230999911354,1711066480803,0.77
h264ref_base.default-static,sync,3142830995726,2978478615683,0.95
hmmer_base.default-static,sync,1943927747235,2802034826542,1.44
libquantum_base.default-static,sync,1881955493849,1952429013144,1.04
mcf_base.default-static,sync,5025666816988,314364521624,0.06
omnetpp_base.default-static,sync,2866520056272,588864827867,0.21
perlbench_base.default-static,sync,2506898210910,2558270065552,1.02
sjeng_base.default-static,sync,4170778080354,2397167335362,0.57
specrand_base.default-static,sync,527469970,623367709,1.18
