program,env,cycles,instructions,instructions/cycles
Xalan_base.default-static,asymm,389888278499,956207788544,2.45
astar_base.default-static,asymm,624615332482,1109977302221,1.78
bzip2_base.default-static,asymm,965187159178,2253023093009,2.33
gcc_base.default-static,asymm,467873377240,1030222764071,2.20
gobmk_base.default-static,asymm,748261254217,1707898066960,2.28
h264ref_base.default-static,asymm,736488167724,2973255659210,4.04
hmmer_base.default-static,asymm,568853676946,2799136362921,4.92
libquantum_base.default-static,asymm,2261154413676,1951510280482,0.86
mcf_base.default-static,asymm,438804002736,305161990853,0.70
omnetpp_base.default-static,asymm,708368066609,584081847571,0.82
perlbench_base.default-static,asymm,652436818164,2554670754238,3.92
sjeng_base.default-static,asymm,951513532089,2390668604468,2.51
specrand_base.default-static,asymm,139532048,622450779,4.46
Xalan_base.default-static,async,385255747518,955535470217,2.48
astar_base.default-static,async,625311041305,1109983820553,1.78
bzip2_base.default-static,async,895779766444,2252962083587,2.52
gcc_base.default-static,async,442948555048,1031765748757,2.33
gobmk_base.default-static,async,744707862258,1707627178835,2.29
h264ref_base.default-static,async,733861359240,2973257956013,4.05
hmmer_base.default-static,async,507442805845,2798858834413,5.52
libquantum_base.default-static,async,2334413150477,1951439081737,0.84
mcf_base.default-static,async,442781702719,305140082735,0.69
omnetpp_base.default-static,async,694680199987,584068045637,0.84
perlbench_base.default-static,async,628257556073,2554647081257,4.07
sjeng_base.default-static,async,953160735186,2390308647528,2.51
specrand_base.default-static,async,140888764,622419733,4.42
Xalan_base.default-static,disabled,328295357560,946023701073,2.88
astar_base.default-static,disabled,601794387410,1109118157142,1.84
bzip2_base.default-static,disabled,846597923802,2252583897611,2.66
gcc_base.default-static,disabled,364683141391,964786911499,2.65
gobmk_base.default-static,disabled,733096896668,1707417574912,2.33
h264ref_base.default-static,disabled,730426414001,2973146591236,4.07
hmmer_base.default-static,disabled,506770483242,2798431727168,5.52
libquantum_base.default-static,disabled,2131412134721,1951072702849,0.92
mcf_base.default-static,disabled,420800853654,304979882654,0.72
omnetpp_base.default-static,disabled,586908682511,561274886793,0.96
perlbench_base.default-static,disabled,554610031321,2481228683675,4.47
sjeng_base.default-static,disabled,923242132610,2390261166033,2.59
specrand_base.default-static,disabled,139681267,622447061,4.46
Xalan_base.default-static,sync,439133735465,955957109744,2.18
astar_base.default-static,sync,643108293311,1109998704165,1.73
bzip2_base.default-static,sync,1569799723409,2253660568542,1.44
gcc_base.default-static,sync,570991143394,1032524228478,1.81
gobmk_base.default-static,sync,762085070477,1707643717669,2.24
h264ref_base.default-static,sync,1736130847617,2974311709733,1.71
hmmer_base.default-static,sync,3359437413522,2801860447030,0.83
libquantum_base.default-static,sync,2335740989023,1951438631631,0.84
mcf_base.default-static,sync,499812023798,305193044904,0.61
omnetpp_base.default-static,sync,817169811277,584198907717,0.71
perlbench_base.default-static,sync,925618831513,2554490942097,2.76
sjeng_base.default-static,sync,979088666503,2390333741258,2.44
specrand_base.default-static,sync,148355568,622383133,4.20
